name,tempmax,tempmin,feelslikemax,feelslikemin,humidity,precip,precipprob,precipcover,windspeed,cloudcover,visibility,solarradiation,solarenergy,uvindex,moonphase,description,day,month,year,sunset_time,sunrise_time,avg_temp,avg_feelsliketemp,dew_point,Overcast,Partially cloudy,Rain,"Rain, Overcast","Rain, Partially cloudy",season
"Port of Spain, Trinidad, Trinidad And Tobago",31.055555555555557,22.055555555555557,34.666666666666664,22.055555555555557,78.0,,0,0.0,15.0,43.8,7.6,,,,0.83,Partly cloudy throughout the day.,1,1,2000,17:54:48,06:24:06,26.666666666666668,28.166666666666668,22.22222222222222,0,1,0,0,0,Dry
"Port of Spain, Trinidad, Trinidad And Tobago",31.055555555555557,21.833333333333332,35.611111111111114,21.833333333333332,83.7,,0,0.0,16.1,57.9,8.2,,,,0.86,Partly cloudy throughout the day.,2,1,2000,17:55:20,06:24:30,25.666666666666668,26.944444444444443,22.5,0,1,0,0,0,Dry
"Port of Spain, Trinidad, Trinidad And Tobago",32.05555555555556,23.055555555555557,35.0,23.055555555555557,78.6,,0,0.0,12.8,73.2,9.5,,,,0.9,Partly cloudy throughout the day.,3,1,2000,17:55:53,06:24:53,26.27777777777778,27.333333333333332,21.999999999999996,0,1,0,0,0,Dry
"Port of Spain, Trinidad, Trinidad And Tobago",29.055555555555557,21.833333333333332,32.111111111111114,21.833333333333332,84.9,,0,0.0,13.9,77.7,9.7,,,,0.93,Clearing in the afternoon.,4,1,2000,17:56:26,06:25:16,24.499999999999996,25.11111111111111,21.611111111111114,0,1,0,0,0,Dry
"Port of Spain, Trinidad, Trinidad And Tobago",27.333333333333332,22.83333333333333,30.38888888888889,22.83333333333333,93.0,,0,0.0,11.4,76.0,8.2,,,,0.96,Partly cloudy throughout the day.,5,1,2000,17:56:59,06:25:37,24.499999999999996,24.72222222222222,23.277777777777782,0,1,0,0,0,Dry
"Port of Spain, Trinidad, Trinidad And Tobago",31.055555555555557,23.055555555555557,35.611111111111114,23.055555555555557,86.7,,0,0.0,18.3,80.0,6.8,,,,0.0,Partly cloudy throughout the day.,6,1,2000,17:57:31,06:25:58,25.500000000000004,26.5,23.000000000000004,0,1,0,0,0,Dry
"Port of Spain, Trinidad, Trinidad And Tobago",30.833333333333332,23.055555555555557,33.833333333333336,23.055555555555557,83.4,,0,0.0,15.0,64.2,7.4,,,,0.03,Partly cloudy throughout the day.,7,1,2000,17:58:04,06:26:18,25.166666666666668,25.777777777777782,21.944444444444443,0,1,0,0,0,Dry
"Port of Spain, Trinidad, Trinidad And Tobago",31.055555555555557,22.666666666666668,33.833333333333336,22.666666666666668,75.8,,0,0.0,13.9,42.2,8.4,,,,0.07,Partly cloudy throughout the day.,8,1,2000,17:58:36,06:26:38,26.5,27.555555555555554,21.444444444444443,0,1,0,0,0,Dry
"Port of Spain, Trinidad, Trinidad And Tobago",31.055555555555557,22.055555555555557,35.22222222222222,22.055555555555557,82.3,,0,0.0,16.1,51.4,7.1,,,,0.1,Partly cloudy throughout the day.,9,1,2000,17:59:09,06:26:56,25.833333333333332,27.38888888888889,22.38888888888889,0,1,0,0,0,Dry
"Port of Spain, Trinidad, Trinidad And Tobago",31.333333333333332,23.055555555555557,35.388888888888886,23.055555555555557,78.8,,0,0.0,18.3,42.4,8.5,,,,0.14,Partly cloudy throughout the day.,10,1,2000,17:59:41,06:27:13,26.444444444444443,27.77777777777778,22.16666666666667,0,1,0,0,0,Dry
