name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunset,moonphase,conditions,description,icon,stations
"Port of Spain, Trinidad, Trinidad And Tobago",2000-01-01,87.9,71.7,80.0,94.4,71.7,82.7,72.0,78.0,,0,0.0,15.0,74.0,1011.2,43.8,7.6,,,,2000-01-01T06:24:06,2000-01-01T17:54:48,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,78970099999
"Port of Spain, Trinidad, Trinidad And Tobago",2000-01-02,87.9,71.3,78.2,96.1,71.3,80.5,72.5,83.7,,0,0.0,16.1,68.5,1010.5,57.9,8.2,,,,2000-01-02T06:24:30,2000-01-02T17:55:20,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,78970099999
"Port of Spain, Trinidad, Trinidad And Tobago",2000-01-03,89.7,73.5,79.3,95.0,73.5,81.2,71.6,78.6,,0,0.0,12.8,78.5,1010.6,73.2,9.5,,,,2000-01-03T06:24:53,2000-01-03T17:55:53,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,78970099999
"Port of Spain, Trinidad, Trinidad And Tobago",2000-01-04,84.3,71.3,76.1,89.8,71.3,77.2,70.9,84.9,,0,0.0,13.9,63.3,1011.1,77.7,9.7,,,,2000-01-04T06:25:16,2000-01-04T17:56:26,0.93,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,78970099999
"Port of Spain, Trinidad, Trinidad And Tobago",2000-01-05,81.2,73.1,76.1,86.7,73.1,76.5,73.9,93.0,,0,0.0,11.4,61.0,1010.5,76.0,8.2,,,,2000-01-05T06:25:37,2000-01-05T17:56:59,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,78970099999
"Port of Spain, Trinidad, Trinidad And Tobago",2000-01-06,87.9,73.5,77.9,96.1,73.5,79.7,73.4,86.7,,0,0.0,18.3,60.9,1010.9,80.0,6.8,,,,2000-01-06T06:25:58,2000-01-06T17:57:31,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,78970099999
"Port of Spain, Trinidad, Trinidad And Tobago",2000-01-07,87.5,73.5,77.3,92.9,73.5,78.4,71.5,83.4,,0,0.0,15.0,50.9,1010.7,64.2,7.4,,,,2000-01-07T06:26:18,2000-01-07T17:58:04,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,78970099999
"Port of Spain, Trinidad, Trinidad And Tobago",2000-01-08,87.9,72.8,79.7,92.9,72.8,81.6,70.6,75.8,,0,0.0,13.9,50.9,1011.2,42.2,8.4,,,,2000-01-08T06:26:38,2000-01-08T17:58:36,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,78970099999
"Port of Spain, Trinidad, Trinidad And Tobago",2000-01-09,87.9,71.7,78.5,95.4,71.7,81.3,72.3,82.3,,0,0.0,16.1,57.2,1011.6,51.4,7.1,,,,2000-01-09T06:26:56,2000-01-09T17:59:09,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,78970099999
"Port of Spain, Trinidad, Trinidad And Tobago",2000-01-10,88.4,73.5,79.6,95.7,73.5,82.0,71.9,78.8,,0,0.0,18.3,55.1,1011.6,42.4,8.5,,,,2000-01-10T06:27:13,2000-01-10T17:59:41,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,78970099999
"Port of Spain, Trinidad, Trinidad And Tobago",2000-01-11,87.9,73.5,80.0,96.1,73.5,83.0,72.6,79.1,,0,0.0,17.2,68.6,1011.6,51.6,7.7,,,,2000-01-11T06:27:30,2000-01-11T18:00:13,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,78970099999
"Port of Spain, Trinidad, Trinidad And Tobago",2000-01-12,89.7,73.5,82.5,91.4,73.5,84.0,67.4,62.2,,0,0.0,13.9,33.7,1012.3,30.6,9.7,,,,2000-01-12T06:27:45,2000-01-12T18:00:45,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,78970099999
"Port of Spain, Trinidad, Trinidad And Tobago",2000-01-13,86.1,73.1,77.1,92.1,73.1,78.2,70.1,79.9,,0,0.0,15.0,58.2,1012.5,65.0,8.6,,,,2000-01-13T06:28:00,2000-01-13T18:01:16,0.24,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,78970099999
"Port of Spain, Trinidad, Trinidad And Tobago",2000-01-14,87.9,71.3,79.2,91.0,71.3,80.8,69.3,73.2,,0,0.0,15.0,65.9,1011.9,48.5,10.2,,,,2000-01-14T06:28:14,2000-01-14T18:01:47,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,78970099999
"Port of Spain, Trinidad, Trinidad And Tobago",2000-01-15,89.7,68.1,77.8,93.7,68.1,79.2,68.3,75.6,,0,0.0,12.8,2.2,1012.4,30.0,15.2,,,,2000-01-15T06:28:27,2000-01-15T18:02:18,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,78970099999
"Port of Spain, Trinidad, Trinidad And Tobago",2000-01-16,84.5,69.5,76.4,91.1,69.5,78.0,69.3,80.0,,0,0.0,11.4,357.4,1012.2,57.3,11.6,,,,2000-01-16T06:28:38,2000-01-16T18:02:49,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,78970099999
"Port of Spain, Trinidad, Trinidad And Tobago",2000-01-17,83.0,69.2,75.5,86.4,69.2,76.6,70.6,85.8,,0,0.0,11.4,50.0,1012.8,79.6,6.6,,,,2000-01-17T06:28:49,2000-01-17T18:03:19,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,78970099999
"Port of Spain, Trinidad, Trinidad And Tobago",2000-01-18,87.9,71.7,78.7,94.0,71.7,81.0,71.7,80.8,,0,0.0,13.9,73.2,1013.5,57.3,8.7,,,,2000-01-18T06:28:59,2000-01-18T18:03:49,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,78970099999
"Port of Spain, Trinidad, Trinidad And Tobago",2000-01-19,73.5,73.5,73.5,73.5,73.5,73.5,71.7,94.1,,0,0.0,0.0,,1014.9,30.0,6.8,,,,2000-01-19T06:29:08,2000-01-19T18:04:18,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,78970099999
"Port of Spain, Trinidad, Trinidad And Tobago",2000-01-21,80.7,73.5,76.6,84.7,73.5,77.3,71.3,84.0,,0,0.0,10.3,70.0,1014.1,33.3,8.3,,,,2000-01-21T06:29:22,2000-01-21T18:05:15,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,78970099999
"Port of Spain, Trinidad, Trinidad And Tobago",2000-01-22,88.4,70.8,79.6,94.4,70.8,82.2,71.5,77.9,,0,0.0,16.1,69.2,1014.0,42.9,8.2,,,,2000-01-22T06:29:28,2000-01-22T18:05:43,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,78970099999
"Port of Spain, Trinidad, Trinidad And Tobago",2000-01-23,87.9,73.5,79.8,94.4,73.5,82.2,72.3,79.4,,0,0.0,21.9,65.3,1013.7,70.9,7.7,,,,2000-01-23T06:29:32,2000-01-23T18:06:11,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,78970099999
"Port of Spain, Trinidad, Trinidad And Tobago",2000-01-24,82.5,73.1,76.0,87.4,73.1,76.7,72.5,89.3,,0,0.0,15.0,67.9,1013.4,85.9,6.0,,,,2000-01-24T06:29:36,2000-01-24T18:06:38,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,78970099999
"Port of Spain, Trinidad, Trinidad And Tobago",2000-01-25,86.6,71.7,77.7,93.6,71.7,79.9,72.1,83.8,,0,0.0,13.9,79.5,1012.2,40.0,8.5,,,,2000-01-25T06:29:38,2000-01-25T18:07:04,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,78970099999
"Port of Spain, Trinidad, Trinidad And Tobago",2000-01-26,87.2,71.7,79.2,93.2,71.7,81.6,72.2,80.4,,0,0.0,17.2,73.0,1013.9,50.4,8.9,,,,2000-01-26T06:29:40,2000-01-26T18:07:30,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,78970099999
"Port of Spain, Trinidad, Trinidad And Tobago",2000-01-27,86.1,73.1,76.9,92.1,73.1,78.3,71.8,85.4,,0,0.0,17.2,63.3,1014.3,42.5,7.4,,,,2000-01-27T06:29:40,2000-01-27T18:07:56,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,78970099999
"Port of Spain, Trinidad, Trinidad And Tobago",2000-01-29,87.9,71.7,78.6,89.3,71.7,79.6,68.6,73.6,,0,0.0,16.1,65.8,1013.2,74.5,10.0,,,,2000-01-29T06:29:38,2000-01-29T18:08:45,0.78,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,78970099999
"Port of Spain, Trinidad, Trinidad And Tobago",2000-01-30,87.9,69.2,77.4,91.6,69.2,78.9,69.3,78.0,,0,0.0,16.1,67.9,1014.4,80.4,9.4,,,,2000-01-30T06:29:35,2000-01-30T18:09:08,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,78970099999
"Port of Spain, Trinidad, Trinidad And Tobago",2000-01-31,87.9,69.9,78.8,94.4,69.9,80.8,70.2,76.3,,0,0.0,17.2,63.7,1015.6,65.0,8.4,,,,2000-01-31T06:29:32,2000-01-31T18:09:31,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,78970099999
"Port of Spain, Trinidad, Trinidad And Tobago",2000-02-01,87.9,73.7,79.2,94.4,73.7,81.7,72.6,80.8,,0,0.0,15.0,61.7,1016.4,77.8,7.8,,,,2000-02-01T06:29:27,2000-02-01T18:09:54,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,78970099999
"Port of Spain, Trinidad, Trinidad And Tobago",2000-02-02,87.9,71.7,78.4,98.0,71.7,80.9,72.6,83.2,,0,0.0,20.8,69.7,1014.7,64.1,8.1,,,,2000-02-02T06:29:21,2000-02-02T18:10:16,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,78970099999
"Port of Spain, Trinidad, Trinidad And Tobago",2000-02-03,88.1,73.5,80.4,96.1,73.5,83.7,73.3,80.3,,0,0.0,17.2,68.4,1014.0,54.2,8.5,,,,2000-02-03T06:29:14,2000-02-03T18:10:37,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,78970099999
