name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunset,moonphase,conditions,description,icon,stations
"Sangre Grande, Trinidad, Trinidad And Tobago",01/01/2000,87.2,72.4,79.5,93.7,72.4,81.8,72,79,,0,0,14.4,68.3,1011.3,41.9,7.5,,,,2000-01-01T06:22:26,2000-01-01T17:53:22,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"789,620,999,997,897,000,000,000,000,000,000"
"Sangre Grande, Trinidad, Trinidad And Tobago",02/01/2000,87.7,71.7,78.3,96,71.7,80.6,72.4,83.3,,0,0,16.1,67.7,1010.5,57.8,8.1,,,,2000-01-02T06:22:50,2000-01-02T17:53:55,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"789,620,999,997,897,000,000,000,000,000,000"
"Sangre Grande, Trinidad, Trinidad And Tobago",03/01/2000,89.3,73.7,79.2,94.9,73.7,81.2,71.6,78.8,,0,0,12.6,74.5,1010.6,71.5,9.3,,,,2000-01-03T06:23:13,2000-01-03T17:54:27,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"789,620,999,997,897,000,000,000,000,000,000"
"Sangre Grande, Trinidad, Trinidad And Tobago",04/01/2000,84.3,71.3,76.1,89.7,71.3,77.2,70.9,84.9,,0,0,13.3,64.5,1011.1,78.1,9.6,,,,2000-01-04T06:23:36,2000-01-04T17:55:00,0.93,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"789,620,999,997,897,000,000,000,000,000,000"
"Sangre Grande, Trinidad, Trinidad And Tobago",05/01/2000,81.1,73.2,76,86.5,73.2,76.3,73.6,92.7,,0,0,11.4,65.4,1010.6,77.7,7.5,,,,2000-01-05T06:23:57,2000-01-05T17:55:33,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"789,620,999,997,897,000,000,000,000,000,000"
"Sangre Grande, Trinidad, Trinidad And Tobago",06/01/2000,87,73.5,77.8,95.1,73.5,79.8,73.4,86.9,,0,0,17.8,61.7,1010.9,79.5,6.8,,,,2000-01-06T06:24:18,2000-01-06T17:56:05,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"789,620,999,997,897,000,000,000,000,000,000"
"Sangre Grande, Trinidad, Trinidad And Tobago",07/01/2000,86.6,73.5,77.2,91.9,73.5,78.3,71.5,83.6,,0,0,13.8,47.2,1010.7,64.4,7.4,,,,2000-01-07T06:24:38,2000-01-07T17:56:38,0.03,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"789,620,999,997,897,000,000,000,000,000,000"
"Sangre Grande, Trinidad, Trinidad And Tobago",08/01/2000,87.9,73.2,79.5,92.4,73.2,81.4,70.7,76.2,,0,0,13.4,49.1,1011.3,41.8,8.2,,,,2000-01-08T06:24:58,2000-01-08T17:57:10,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"789,620,999,997,897,000,000,000,000,000,000"
"Sangre Grande, Trinidad, Trinidad And Tobago",09/01/2000,87.9,71.7,78.5,94.7,71.7,81.2,72.2,82,,0,0,16.1,54.8,1011.6,51.6,7.1,,,,2000-01-09T06:25:16,2000-01-09T17:57:42,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"789,620,999,997,897,000,000,000,000,000,000"
"Sangre Grande, Trinidad, Trinidad And Tobago",10/01/2000,87.9,73.5,79.5,95,73.5,81.9,71.9,79,,0,0,17.5,52.9,1011.7,41.3,8.4,,,,2000-01-10T06:25:34,2000-01-10T17:58:15,0.14,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"789,620,999,997,897,000,000,000,000,000,000"
