name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunset,moonphase,conditions,description,icon,stations
"Scarborough, Tobago, Trinidad And Tobago",01/01/2000,84.3,75.3,78.2,91.1,75.3,79.7,72.4,82.5,,0,0,29.8,40.2,1011.5,45.8,7.5,,,,2000-01-01T06:21:54,2000-01-01T17:50:46,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"7,896,209,999,978,960,000,000"
"Scarborough, Tobago, Trinidad And Tobago",02/01/2000,86.1,73.5,77.4,95.4,73.5,78.8,72.2,84.7,,0,0,13.9,59.2,1011,44.3,7.1,,,,2000-01-02T06:22:18,2000-01-02T17:51:18,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"7,896,209,999,978,960,000,000"
"Scarborough, Tobago, Trinidad And Tobago",03/01/2000,86.1,74.9,79.1,95.4,74.9,81.6,72,79.4,,0,0,11.4,54.3,1011.1,60.8,8,,,,2000-01-03T06:22:41,2000-01-03T17:51:51,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"7,896,209,999,978,960,000,000"
"Scarborough, Tobago, Trinidad And Tobago",04/01/2000,84.4,75.3,80.1,89.6,75.3,82.5,71,74.6,,0,0,8.1,72.4,1012.1,90,8.8,,,,2000-01-04T06:23:03,2000-01-04T17:52:24,0.93,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"7,896,209,999,978,960,000,000"
"Scarborough, Tobago, Trinidad And Tobago",05/01/2000,80.8,73.5,76,85.6,73.5,76.8,72.6,89.3,,0,0,11.4,62.8,1011,86.9,5.4,,,,2000-01-05T06:23:25,2000-01-05T17:52:57,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"7,896,209,999,978,960,000,000"
"Scarborough, Tobago, Trinidad And Tobago",06/01/2000,82.5,75.3,77.9,88.5,75.3,79.4,73.8,87.5,,0,0,16.1,74,1011.6,80,7.5,,,,2000-01-06T06:23:45,2000-01-06T17:53:30,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"7,896,209,999,978,960,000,000"
"Scarborough, Tobago, Trinidad And Tobago",07/01/2000,82,73.5,76.8,86.9,73.5,77.5,71.4,83.8,,0,0,11.4,19.8,1011.2,60.8,7.2,,,,2000-01-07T06:24:05,2000-01-07T17:54:03,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"7,896,209,999,978,960,000,000"
"Scarborough, Tobago, Trinidad And Tobago",08/01/2000,82.6,73.7,78.8,88.5,73.7,80.7,71.3,78.2,,0,0,13.9,41.9,1012.1,38.1,7.3,,,,2000-01-08T06:24:24,2000-01-08T17:54:36,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"7,896,209,999,978,960,000,000"
"Scarborough, Tobago, Trinidad And Tobago",09/01/2000,82.5,75.3,78.6,88.5,75.3,80.3,72.1,80.5,,0,0,10.3,39.9,1012.4,47.1,7.3,,,,2000-01-09T06:24:42,2000-01-09T17:55:09,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"7,896,209,999,978,960,000,000"
"Scarborough, Tobago, Trinidad And Tobago",10/01/2000,83.4,75.3,79.2,88.7,75.3,81.6,71.6,77.8,,0,0,13.9,35.5,1012,30,8.1,,,,2000-01-10T06:24:59,2000-01-10T17:55:41,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"7,896,209,999,978,960,000,000"
"Scarborough, Tobago, Trinidad And Tobago",11/01/2000,84.3,73.5,78.6,91.1,73.5,81.2,72.8,82.9,,0,0,16.1,52.7,1011.7,51.8,6.5,,,,2000-01-11T06:25:15,2000-01-11T17:56:14,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"7,896,209,999,978,960,000,000"
"Scarborough, Tobago, Trinidad And Tobago",12/01/2000,84.3,76.6,80.8,88.6,76.6,82.9,69.3,68.4,,0,0,13.9,30.2,1013,27.3,8.7,,,,2000-01-12T06:25:30,2000-01-12T17:56:46,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"7,896,209,999,978,960,000,000"
"Scarborough, Tobago, Trinidad And Tobago",13/01/2000,78.9,73.5,76.3,78.9,73.5,76.3,70.4,82.3,,0,0,11.4,51.6,1012.8,71.1,7,,,,2000-01-13T06:25:44,2000-01-13T17:57:18,0.24,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"7,896,209,999,978,960,000,000"
"Scarborough, Tobago, Trinidad And Tobago",14/01/2000,85.7,73.5,78.2,91.7,73.5,80.3,69.7,75.5,,0,0,16.1,68.5,1012.5,45.4,8.5,,,,2000-01-14T06:25:58,2000-01-14T17:57:50,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"7,896,209,999,978,960,000,000"
