locationURL,locationCode
"Port%20of%20Spain%2C%20Trinidad%2C%20Trinidad%20and%20Tobago","Port-of-Spain"
"San%20Fernando%2C%20Trinidad%2C%20Trinidad%20and%20Tobago","San-Fernando"
"Arima%2C%20Trinidad%2C%20Trinidad%20and%20Tobago","Arima"
"Sangre%20Grande%2C%20Trinidad%2C%20Trinidad%20and%20Tobago","Sangre-Grande"
"Tunapuna-Piarco%2C%20Trinidad%2C%20Trinidad%20and%20Tobago","Tunapuna-Piarco"
"Crown%20Point%2C%20Tobago%2C%20Trinidad%20and%20Tobago","Crown-Point"
"Scarborough%2C%20Tobago%2C%20Trinidad%20and%20Tobago","Scarborough"
"Rio%20Claro%20-%20Mayaro%2C%20Trinidad%2C%20Trinidad%20and%20Tobago","Rio-Claro-Mayaro"
"Siparia%2C%20Trinidad%2C%20Trinidad%20and%20Tobago","Siparia"
"Chaguanas%2C%20Trinidad%2C%20Trinidad%20and%20Tobago","Chaguanas"
"Diego%20Martin%2C%20Trinidad%2C%20Trinidad%20and%20Tobago","Diego-Martin"
"Princes%20Town%2C%20Trinidad%2C%20Trinidad%20and%20Tobago","Princes-Town"
"Couva-Tabaquite-Talparo%2C%20Trinidad%2C%20Trinidad%20and%20Tobago","Couva-Tabaquite-Talparo"
"Point%20Fortin%2C%20Trinidad%2C%20Trinidad%20and%20Tobago","Point-Fortin"
"San%20Juan%20-%20Laventille%2C%20Trinidad%2C%20Trinidad%20and%20Tobago","San-Juan-Laventille"
"Penal%20-%20Debe%2C%20Trinidad%2C%20Trinidad%20and%20Tobago","Penal-Debe"
