name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunset,moonphase,conditions,description,icon,stations
"Talparo, Couva-Tabaquite-Taiparo, Trinidad, Trinidad And Tobago",2025-04-27,86.2,75.3,80.9,90.7,75.3,83.4,70.9,72.5,0.0,0,0.0,15.0,110.2,1011.9,59.6,7.8,266.2,23.2,9,2025-04-27T05:48:35,2025-04-27T18:17:01,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,TTPP,TDW00011634,TTCP"
"Talparo, Couva-Tabaquite-Taiparo, Trinidad, Trinidad And Tobago",2025-04-28,88.0,76.8,82.1,98.1,76.8,86.7,74.0,77.0,0.0,0,0.0,17.2,106.5,1012.5,63.0,7.5,297.2,25.6,10,2025-04-28T05:48:11,2025-04-28T18:17:08,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,TTPP,TDW00011634,TTCP"
"Talparo, Couva-Tabaquite-Taiparo, Trinidad, Trinidad And Tobago",2025-04-29,89.4,76.8,82.2,102.0,76.8,87.6,75.1,79.9,0.0,0,0.0,16.1,113.9,1011.5,64.8,6.8,278.1,23.7,9,2025-04-29T05:47:48,2025-04-29T18:17:15,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,3EBY2,TTPP,TDW00011634,TTCP"
"Talparo, Couva-Tabaquite-Taiparo, Trinidad, Trinidad And Tobago",2025-04-30,88.0,75.3,81.8,97.0,75.3,85.3,72.1,73.8,0.0,0,0.0,13.9,107.9,1011.0,74.3,5.9,287.4,25.1,10,2025-04-30T05:47:25,2025-04-30T18:17:22,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,3EBY2,TTPP,TDW00011634,TTCP"
"Talparo, Couva-Tabaquite-Taiparo, Trinidad, Trinidad And Tobago",2025-05-01,89.5,76.9,82.3,94.9,76.9,85.5,72.0,72.4,0.0,0,0.0,15.0,107.1,1011.4,64.9,7.1,258.2,22.4,9,2025-05-01T05:47:03,2025-05-01T18:17:30,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,TTPP,TDW00011634,TTCP"
"Talparo, Couva-Tabaquite-Taiparo, Trinidad, Trinidad And Tobago",2025-05-02,89.7,75.3,82.1,102.0,75.3,88.2,74.5,78.4,0.0,0,0.0,13.8,99.4,1011.4,58.8,7.3,260.4,22.4,9,2025-05-02T05:46:42,2025-05-02T18:17:38,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,TTPP,TDW00011634,TTCP"
"Talparo, Couva-Tabaquite-Taiparo, Trinidad, Trinidad And Tobago",2025-05-03,82.6,75.2,79.3,91.4,75.2,82.7,76.0,89.7,0.476,100,8.33,13.8,107.4,1011.8,74.4,5.9,210.6,18.3,7,2025-05-03T05:46:21,2025-05-03T18:17:46,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"78970011634,TTPP,TDW00011634,TTCP"
"Talparo, Couva-Tabaquite-Taiparo, Trinidad, Trinidad And Tobago",2025-05-04,89.4,75.5,81.5,100.0,75.5,87.2,76.3,84.8,0.0,0,0.0,14.9,104.0,1012.0,70.9,6.9,202.5,17.5,7,2025-05-04T05:46:02,2025-05-04T18:17:55,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,TTPP,TDW00011634,TTCP"
"Talparo, Couva-Tabaquite-Taiparo, Trinidad, Trinidad And Tobago",2025-05-05,89.5,77.3,82.2,102.5,77.3,88.3,76.6,83.8,0.043,100,8.33,13.8,103.6,1012.0,78.0,6.4,176.9,15.2,6,2025-05-05T05:45:43,2025-05-05T18:18:04,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"78970011634,3EBY2,TTPP,TDW00011634,TTCP"
"Talparo, Couva-Tabaquite-Taiparo, Trinidad, Trinidad And Tobago",2025-05-06,89.6,77.1,82.6,102.3,77.1,88.4,75.8,80.9,0.0,0,0.0,18.3,97.5,1011.7,44.5,7.5,283.7,24.3,10,2025-05-06T05:45:24,2025-05-06T18:18:14,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,3EBY2,TTPP,TDW00011634,TTCP"
"Talparo, Couva-Tabaquite-Taiparo, Trinidad, Trinidad And Tobago",2025-05-07,89.5,75.0,82.0,102.3,75.0,88.1,75.1,80.5,0.0,0,0.0,16.1,113.4,1011.8,61.2,7.6,267.1,23.0,9,2025-05-07T05:45:07,2025-05-07T18:18:24,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,3EBY2,TTPP,TDW00011634,TTCP"
"Talparo, Couva-Tabaquite-Taiparo, Trinidad, Trinidad And Tobago",2025-05-08,89.4,77.3,82.6,101.9,77.3,88.6,75.4,79.5,0.0,0,0.0,15.0,102.8,1012.6,72.9,7.0,211.5,18.2,8,2025-05-08T05:44:50,2025-05-08T18:18:34,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,3EBY2,TTPP,TDW00011634,TTCP"
"Talparo, Couva-Tabaquite-Taiparo, Trinidad, Trinidad And Tobago",2025-05-09,87.8,76.9,81.3,99.7,76.9,86.5,76.2,85.0,0.039,100,4.17,15.0,105.1,1012.9,74.8,7.0,241.5,20.8,8,2025-05-09T05:44:34,2025-05-09T18:18:45,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"78970011634,3EBY2,TTPP,TDW00011634,TTCP"
"Talparo, Couva-Tabaquite-Taiparo, Trinidad, Trinidad And Tobago",2025-05-10,87.6,75.3,80.6,99.9,75.3,85.4,76.1,86.7,0.012,100,4.17,15.0,106.8,1014.7,70.7,6.9,215.7,18.8,8,2025-05-10T05:44:18,2025-05-10T18:18:56,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"78970011634,3EBY2,TTPP,TDW00011634,TTCP"
