name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunset,moonphase,conditions,description,icon,stations
"Crown Point, Tobago, Trinidad And Tobago",2025-04-27,87.7,80.5,83.2,97.7,84.4,89.1,72.8,71.1,0.0,0,0.0,15.0,106.3,1012.1,51.3,7.4,287.9,24.8,10,2025-04-27T05:46:15,2025-04-27T18:15:55,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78961300410,TTCP,TDW00000410"
"Crown Point, Tobago, Trinidad And Tobago",2025-04-28,87.7,78.9,83.3,97.6,78.9,89.6,73.5,72.6,0.0,0,0.0,10.3,104.8,1012.6,45.7,7.5,286.4,24.7,10,2025-04-28T05:45:50,2025-04-28T18:16:02,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78961300410,TTCP,TDW00000410"
"Crown Point, Tobago, Trinidad And Tobago",2025-04-29,87.9,78.9,83.4,99.8,78.9,90.4,74.5,75.0,0.0,0,0.0,16.6,102.5,1011.6,58.4,7.9,273.7,23.7,9,2025-04-29T05:45:26,2025-04-29T18:16:10,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78961300410,TTCP,remote,TDW00000410"
"Crown Point, Tobago, Trinidad And Tobago",2025-04-30,87.7,77.1,82.1,99.6,77.1,87.2,74.5,78.4,0.0,0,0.0,10.3,108.1,1011.2,59.3,7.4,289.2,25.1,9,2025-04-30T05:45:03,2025-04-30T18:16:18,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78961300410,TTCP,TDW00000410"
"Crown Point, Tobago, Trinidad And Tobago",2025-05-01,89.4,77.1,83.3,100.2,77.1,89.6,74.7,75.8,0.0,0,0.0,12.8,105.1,1011.5,46.9,7.4,269.3,23.1,9,2025-05-01T05:44:40,2025-05-01T18:16:27,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78961300410,TTCP,TDW00000410"
"Crown Point, Tobago, Trinidad And Tobago",2025-05-02,87.9,78.6,83.1,99.7,78.6,90.2,75.2,77.2,0.0,0,0.0,10.3,108.3,1011.5,49.6,7.4,268.7,23.3,9,2025-05-02T05:44:18,2025-05-02T18:16:35,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78961300410,TTCP,TDW00000410"
"Crown Point, Tobago, Trinidad And Tobago",2025-05-03,84.0,76.8,79.2,93.8,76.8,82.4,76.0,90.0,1.102,100,16.67,12.8,79.3,1011.8,66.1,6.7,248.7,21.5,9,2025-05-03T05:43:56,2025-05-03T18:16:45,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"78961300410,TTCP,TDW00000410"
"Crown Point, Tobago, Trinidad And Tobago",2025-05-04,85.9,78.6,81.9,98.9,78.6,88.0,76.4,83.8,0.039,100,4.17,12.8,108.3,1012.1,64.5,7.0,217.6,18.8,7,2025-05-04T05:43:36,2025-05-04T18:16:54,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"78961300410,TTCP,remote,TDW00000410"
"Crown Point, Tobago, Trinidad And Tobago",2025-05-05,87.6,80.7,83.4,99.7,86.2,91.9,76.1,78.9,0.0,0,0.0,11.4,115.2,1012.1,61.6,7.3,276.6,24.0,10,2025-05-05T05:43:16,2025-05-05T18:17:04,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78961300410,TTCP,TDW00000410"
"Crown Point, Tobago, Trinidad And Tobago",2025-05-06,87.7,78.7,83.1,97.6,78.7,89.3,74.1,74.6,0.0,0,0.0,11.7,100.0,1011.9,37.4,7.3,288.1,24.8,10,2025-05-06T05:42:57,2025-05-06T18:17:15,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78961300410,TTCP,TDW00000410"
