name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunset,moonphase,conditions,description,icon,stations
"Diego Martin, Trinidad, Trinidad And Tobago",2025-04-27,86.2,75.3,80.9,90.6,75.3,83.4,70.9,72.5,0.0,0,0.0,15.0,110.2,1011.9,56.2,7.6,274.1,23.7,9,2025-04-27T05:49:34,2025-04-27T18:18:20,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,TTPP,TDW00011634"
"Diego Martin, Trinidad, Trinidad And Tobago",2025-04-28,88.0,76.8,82.1,98.0,76.8,86.6,74.0,77.0,0.0,0,0.0,17.2,106.5,1012.4,58.5,7.4,302.1,26.0,10,2025-04-28T05:49:10,2025-04-28T18:18:27,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,TTPP,TDW00011634"
"Diego Martin, Trinidad, Trinidad And Tobago",2025-04-29,89.4,76.8,82.2,102.1,76.8,87.7,75.2,80.0,0.0,0,0.0,16.1,114.4,1011.7,59.9,6.8,279.2,24.1,9,2025-04-29T05:48:47,2025-04-29T18:18:34,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,3EBY2,TTPP,TDW00011634"
"Diego Martin, Trinidad, Trinidad And Tobago",2025-04-30,88.0,75.3,81.8,97.0,75.3,85.3,72.1,73.8,0.0,0,0.0,13.9,108.8,1011.1,69.5,5.9,296.1,25.7,10,2025-04-30T05:48:24,2025-04-30T18:18:41,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,3EBY2,TTPP,TDW00011634"
"Diego Martin, Trinidad, Trinidad And Tobago",2025-05-01,89.5,76.9,82.3,94.8,76.9,85.5,72.0,72.3,0.0,0,0.0,15.0,107.1,1011.4,60.5,7.0,258.6,22.5,10,2025-05-01T05:48:02,2025-05-01T18:18:49,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,TTPP,TDW00011634"
"Diego Martin, Trinidad, Trinidad And Tobago",2025-05-02,89.7,75.3,82.1,102.1,75.3,88.1,74.5,78.4,0.0,0,0.0,13.9,99.4,1011.4,54.1,7.2,275.8,23.9,9,2025-05-02T05:47:40,2025-05-02T18:18:57,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,TTPP,TDW00011634"
"Diego Martin, Trinidad, Trinidad And Tobago",2025-05-03,82.6,75.2,79.3,91.3,75.2,82.7,76.0,89.7,0.476,100,8.33,13.9,107.4,1011.8,70.3,5.9,216.4,18.6,8,2025-05-03T05:47:19,2025-05-03T18:19:06,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"78970011634,TTPP,TDW00011634"
"Diego Martin, Trinidad, Trinidad And Tobago",2025-05-04,89.4,75.4,81.5,100.0,75.4,87.2,76.3,84.8,0.0,0,0.0,15.0,104.1,1012.0,65.2,6.8,220.8,19.2,8,2025-05-04T05:46:59,2025-05-04T18:19:15,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,TTPP,TDW00011634"
"Diego Martin, Trinidad, Trinidad And Tobago",2025-05-05,89.5,77.2,82.2,102.5,77.2,88.6,76.6,83.7,0.043,100,8.33,13.9,104.2,1012.1,73.1,6.4,211.5,18.1,8,2025-05-05T05:46:40,2025-05-05T18:19:25,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"78970011634,3EBY2,TTPP,TDW00011634"
"Diego Martin, Trinidad, Trinidad And Tobago",2025-05-06,89.6,77.1,82.6,102.3,77.1,88.4,75.8,80.9,0.0,0,0.0,18.3,97.4,1011.7,43.3,7.4,292.8,25.1,10,2025-05-06T05:46:21,2025-05-06T18:19:34,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,3EBY2,TTPP,TDW00011634"
"Diego Martin, Trinidad, Trinidad And Tobago",2025-05-07,89.5,75.0,82.0,102.3,75.0,88.1,75.1,80.4,0.0,0,0.0,16.1,113.4,1011.9,57.4,7.4,275.4,23.8,9,2025-05-07T05:46:04,2025-05-07T18:19:45,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,3EBY2,TTPP,TDW00011634"
"Diego Martin, Trinidad, Trinidad And Tobago",2025-05-08,89.4,77.2,82.6,102.0,77.2,88.7,75.5,79.7,0.0,0,0.0,15.2,103.1,1012.8,67.2,7.0,185.2,16.0,7,2025-05-08T05:45:46,2025-05-08T18:19:55,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,3EBY2,TTPP,TDW00011634"
"Diego Martin, Trinidad, Trinidad And Tobago",2025-05-09,87.8,76.9,81.3,99.7,76.9,86.4,76.2,85.0,0.039,100,4.17,15.0,105.3,1012.9,69.6,6.9,242.2,20.8,8,2025-05-09T05:45:30,2025-05-09T18:20:06,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"78970011634,3EBY2,TTPP,TDW00011634"
"Diego Martin, Trinidad, Trinidad And Tobago",2025-05-10,87.6,75.3,80.6,99.9,75.3,85.4,76.1,86.6,0.012,100,4.17,15.0,107.0,1014.7,66.7,6.8,245.2,21.1,9,2025-05-10T05:45:15,2025-05-10T18:20:17,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"78970011634,3EBY2,TTPP,TDW00011634"
"Diego Martin, Trinidad, Trinidad And Tobago",2025-05-11,89.3,75.1,81.6,99.9,75.1,86.1,74.6,80.5,0.0,0,0.0,17.2,96.9,1014.5,36.1,8.0,302.6,26.1,10,2025-05-11T05:45:00,2025-05-11T18:20:29,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,TTPP,TDW00011634"
"Diego Martin, Trinidad, Trinidad And Tobago",2025-05-12,91.3,74.9,82.0,102.7,74.9,88.3,75.2,80.8,0.0,0,0.0,12.7,110.1,1013.8,46.4,7.6,272.6,23.5,9,2025-05-12T05:44:46,2025-05-12T18:20:41,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,3EBY2,TTPP,TDW00011634"
"Diego Martin, Trinidad, Trinidad And Tobago",2025-05-13,89.3,77.0,81.8,102.2,77.0,87.0,76.1,83.7,0.016,100,4.17,17.2,103.4,1012.5,52.5,6.7,252.4,21.8,9,2025-05-13T05:44:33,2025-05-13T18:20:53,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"78970011634,TTPP,TDW00011634"
"Diego Martin, Trinidad, Trinidad And Tobago",2025-05-14,82.3,76.8,78.7,92.0,76.8,81.1,76.0,91.5,0.642,100,12.5,13.9,103.0,1012.5,67.2,6.3,250.4,21.6,8,2025-05-14T05:44:20,2025-05-14T18:21:06,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"78970011634,TTPP,TDW00011634"
"Diego Martin, Trinidad, Trinidad And Tobago",2025-05-15,87.6,76.7,81.9,101.8,76.7,88.5,76.7,85.1,0.039,100,4.17,18.3,97.4,1012.6,54.1,5.9,238.2,20.5,8,2025-05-15T05:44:09,2025-05-15T18:21:19,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"78970011634,TTPP,TDW00011634"
"Diego Martin, Trinidad, Trinidad And Tobago",2025-05-16,87.7,76.8,81.2,101.9,76.8,86.6,76.8,86.9,0.079,100,4.17,16.1,102.2,1012.5,61.7,5.8,249.6,21.4,8,2025-05-16T05:43:58,2025-05-16T18:21:32,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"78970011634,TTPP,TDW00011634"
"Diego Martin, Trinidad, Trinidad And Tobago",2025-05-17,86.0,75.4,79.5,99.3,75.4,82.7,76.9,92.0,0.488,100,12.5,16.1,114.5,1012.3,72.0,5.2,228.6,19.7,8,2025-05-17T05:43:48,2025-05-17T18:21:46,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"78970011634,TTPP,TDW00011634"
"Diego Martin, Trinidad, Trinidad And Tobago",2025-05-18,79.3,73.6,76.9,79.3,73.6,76.9,75.4,95.2,3.564,100,12.5,10.3,98.9,1013.3,74.5,4.2,141.0,12.2,6,2025-05-18T05:43:39,2025-05-18T18:22:00,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"78970011634,3EBY2,TTPP,TDW00011634"
"Diego Martin, Trinidad, Trinidad And Tobago",2025-05-19,84.4,77.0,78.9,96.5,77.0,81.7,76.7,93.3,0.209,100,12.5,12.8,120.1,1013.2,70.9,5.7,139.7,12.3,5,2025-05-19T05:43:31,2025-05-19T18:22:14,0.74,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"78970011634,3EBY2,TTPP,TDW00011634"
"Diego Martin, Trinidad, Trinidad And Tobago",2025-05-20,85.8,77.1,80.9,98.8,77.1,86.2,77.2,88.7,0.028,100,8.33,15.0,113.2,1013.2,71.6,5.6,160.8,14.0,7,2025-05-20T05:43:23,2025-05-20T18:22:28,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"78970011634,3EBY2,TTPP,TDW00011634"
"Diego Martin, Trinidad, Trinidad And Tobago",2025-05-21,82.3,75.4,78.9,93.4,75.4,82.4,77.0,94.3,0.079,100,4.17,11.4,105.0,1013.5,67.1,5.3,178.0,15.4,6,2025-05-21T05:43:16,2025-05-21T18:22:43,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"78970011634,3EBY2,TTPP,TDW00011634"
"Diego Martin, Trinidad, Trinidad And Tobago",2025-05-22,87.6,76.8,80.0,99.9,76.8,83.2,76.4,89.5,0.24,100,8.33,17.2,104.4,1013.8,71.4,5.4,241.7,20.9,8,2025-05-22T05:43:11,2025-05-22T18:22:58,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"78970011634,3EBY2,TTPP,TDW00011634"
