name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunset,moonphase,conditions,description,icon,stations
"Penal-Debe, Trinidad, Trinidad And Tobago",2025-04-27,86.2,75.3,80.9,90.7,75.3,83.4,70.9,72.5,0.0,0,0.0,15.0,110.2,1011.9,58.5,7.7,261.7,22.5,9,2025-04-27T05:49:42,2025-04-27T18:17:18,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,TTPP,TDW00011634"
"Penal-Debe, Trinidad, Trinidad And Tobago",2025-04-28,88.0,76.8,82.1,98.0,76.8,86.6,74.0,77.0,0.0,0,0.0,17.2,106.5,1012.4,61.6,7.5,291.1,25.2,10,2025-04-28T05:49:19,2025-04-28T18:17:24,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,TTPP,TDW00011634"
"Penal-Debe, Trinidad, Trinidad And Tobago",2025-04-29,89.4,76.8,82.3,102.0,76.8,88.1,75.3,80.1,0.0,0,0.0,16.1,114.9,1012.1,63.2,6.9,269.0,23.3,9,2025-04-29T05:48:56,2025-04-29T18:17:30,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,3EBY2,TTPP,TDW00011634"
"Penal-Debe, Trinidad, Trinidad And Tobago",2025-04-30,88.0,75.3,81.8,97.0,75.3,85.2,72.1,73.8,0.0,0,0.0,13.9,109.5,1011.2,73.0,6.0,275.7,23.8,10,2025-04-30T05:48:34,2025-04-30T18:17:37,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,3EBY2,TTPP,TDW00011634"
"Penal-Debe, Trinidad, Trinidad And Tobago",2025-05-01,89.5,76.9,82.3,94.8,76.9,85.5,72.0,72.3,0.0,0,0.0,15.0,107.1,1011.4,63.6,7.0,265.3,22.8,9,2025-05-01T05:48:13,2025-05-01T18:17:44,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,TTPP,TDW00011634"
"Penal-Debe, Trinidad, Trinidad And Tobago",2025-05-02,89.7,75.3,82.1,102.1,75.3,88.2,74.5,78.4,0.0,0,0.0,13.9,99.4,1011.4,57.3,7.3,251.1,21.8,8,2025-05-02T05:47:52,2025-05-02T18:17:52,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,TTPP,TDW00011634"
"Penal-Debe, Trinidad, Trinidad And Tobago",2025-05-03,82.6,75.2,79.3,91.3,75.2,82.7,76.0,89.7,0.476,100,8.33,13.9,107.4,1011.8,73.1,5.9,205.7,17.6,7,2025-05-03T05:47:32,2025-05-03T18:18:00,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"78970011634,TTPP,TDW00011634"
"Penal-Debe, Trinidad, Trinidad And Tobago",2025-05-04,89.4,75.4,81.5,100.0,75.4,87.2,76.3,84.8,0.0,0,0.0,15.0,104.1,1012.0,69.1,6.9,174.8,15.1,7,2025-05-04T05:47:13,2025-05-04T18:18:08,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,TTPP,TDW00011634"
"Penal-Debe, Trinidad, Trinidad And Tobago",2025-05-05,89.5,77.2,82.3,102.5,77.2,88.8,76.7,83.7,0.043,100,8.33,13.9,105.3,1012.3,76.5,6.5,122.9,10.7,4,2025-05-05T05:46:54,2025-05-05T18:18:17,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"78970011634,3EBY2,TTPP,TDW00011634"
"Penal-Debe, Trinidad, Trinidad And Tobago",2025-05-06,89.6,77.1,82.6,102.3,77.1,88.4,75.9,80.9,0.0,0,0.0,18.3,97.1,1011.8,44.5,7.5,277.5,23.9,10,2025-05-06T05:46:36,2025-05-06T18:18:26,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,3EBY2,TTPP,TDW00011634"
"Penal-Debe, Trinidad, Trinidad And Tobago",2025-05-07,89.5,75.0,82.1,102.3,75.0,88.1,75.1,80.3,0.0,0,0.0,16.1,113.4,1012.0,60.5,7.6,267.9,23.1,9,2025-05-07T05:46:19,2025-05-07T18:18:35,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,3EBY2,TTPP,TDW00011634"
"Penal-Debe, Trinidad, Trinidad And Tobago",2025-05-08,89.4,77.2,82.6,102.0,77.2,88.7,75.5,80.0,0.0,0,0.0,15.6,103.8,1013.0,71.4,7.2,188.8,16.4,7,2025-05-08T05:46:03,2025-05-08T18:18:45,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,3EBY2,TTPP,TDW00011634"
"Penal-Debe, Trinidad, Trinidad And Tobago",2025-05-09,87.8,76.9,81.3,99.7,76.9,86.5,76.2,85.0,0.039,100,4.17,15.0,105.5,1013.0,73.4,7.0,240.0,20.8,8,2025-05-09T05:45:47,2025-05-09T18:18:55,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"78970011634,3EBY2,TTPP,TDW00011634"
"Penal-Debe, Trinidad, Trinidad And Tobago",2025-05-10,87.6,75.3,80.6,99.9,75.3,85.4,76.1,86.7,0.012,100,4.17,15.0,107.6,1014.8,69.7,6.9,189.3,16.2,7,2025-05-10T05:45:32,2025-05-10T18:19:06,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"78970011634,3EBY2,TTPP,TDW00011634"
"Penal-Debe, Trinidad, Trinidad And Tobago",2025-05-11,89.3,75.1,81.6,99.9,75.1,86.1,74.6,80.5,0.0,0,0.0,17.2,96.9,1014.5,37.0,8.2,289.3,24.8,10,2025-05-11T05:45:18,2025-05-11T18:19:17,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,TTPP,TDW00011634"
"Penal-Debe, Trinidad, Trinidad And Tobago",2025-05-12,91.3,74.9,81.9,102.7,74.9,88.1,75.2,80.9,0.0,0,0.0,14.5,113.5,1014.1,47.8,7.8,249.7,21.7,8,2025-05-12T05:45:05,2025-05-12T18:19:28,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,3EBY2,TTPP,TDW00011634"
"Penal-Debe, Trinidad, Trinidad And Tobago",2025-05-13,89.3,77.0,81.8,102.2,77.0,87.0,76.1,83.7,0.016,100,4.17,17.2,103.4,1012.6,53.6,6.7,242.4,21.1,9,2025-05-13T05:44:53,2025-05-13T18:19:40,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"78970011634,TTPP,TDW00011634"
"Penal-Debe, Trinidad, Trinidad And Tobago",2025-05-14,82.3,76.8,78.7,92.0,76.8,81.1,76.0,91.5,0.642,100,12.5,13.9,103.0,1012.6,68.4,6.3,242.4,20.9,8,2025-05-14T05:44:41,2025-05-14T18:19:52,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"78970011634,TTPP,TDW00011634"
"Penal-Debe, Trinidad, Trinidad And Tobago",2025-05-15,87.6,76.7,81.9,101.8,76.7,88.5,76.7,85.1,0.039,100,4.17,18.3,97.4,1012.6,55.5,5.9,237.4,20.4,9,2025-05-15T05:44:30,2025-05-15T18:20:04,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"78970011634,TTPP,TDW00011634"
