name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunset,moonphase,conditions,description,icon,stations
"Sangre Grande, Trinidad, Trinidad And Tobago",2025-04-27,86.4,75.9,81.2,91.3,75.9,83.8,71.1,72.4,0.0,0,0.0,15.0,110.4,1011.9,57.1,7.6,266.2,23.2,9,2025-04-27T05:47:59,2025-04-27T18:16:28,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78961300410,78970011634,TTPP,TDW00011634,TTCP,TDW00000410"
"Sangre Grande, Trinidad, Trinidad And Tobago",2025-04-28,88.0,77.2,82.3,97.9,77.2,86.8,73.9,76.5,0.0,0,0.0,16.5,106.8,1012.5,58.9,7.5,297.2,25.6,10,2025-04-28T05:47:35,2025-04-28T18:16:34,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78961300410,78970011634,TTPP,TDW00011634,TTCP,TDW00000410"
"Sangre Grande, Trinidad, Trinidad And Tobago",2025-04-29,89.2,76.9,82.3,101.8,76.9,87.7,75.0,79.4,0.0,0,0.0,15.4,115.2,1011.5,61.8,6.9,278.1,23.7,9,2025-04-29T05:47:12,2025-04-29T18:16:41,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78961300410,78970011634,TTPP,TDW00011634,TTCP,TDW00000410"
"Sangre Grande, Trinidad, Trinidad And Tobago",2025-04-30,87.8,75.7,81.8,96.7,75.7,85.5,72.4,74.2,0.0,0,0.0,13.5,109.7,1011.0,70.4,6.1,287.4,25.1,10,2025-04-30T05:46:49,2025-04-30T18:16:49,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78961300410,78970011634,TTPP,TDW00011634,TTCP,TDW00000410"
"Sangre Grande, Trinidad, Trinidad And Tobago",2025-05-01,89.5,77.0,82.4,95.3,77.0,85.8,72.3,72.7,0.0,0,0.0,14.5,107.7,1011.4,60.7,7.1,258.2,22.4,9,2025-05-01T05:46:27,2025-05-01T18:16:56,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78961300410,78970011634,TTPP,TDW00011634,TTCP,TDW00000410"
"Sangre Grande, Trinidad, Trinidad And Tobago",2025-05-02,89.5,75.8,82.2,101.6,75.8,88.2,74.6,78.2,0.0,0,0.0,13.4,100.8,1011.4,55.5,7.3,260.4,22.4,9,2025-05-02T05:46:06,2025-05-02T18:17:04,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78961300410,78970011634,TTPP,TDW00011634,TTCP,TDW00000410"
"Sangre Grande, Trinidad, Trinidad And Tobago",2025-05-03,82.8,75.4,79.3,91.5,75.4,82.6,76.0,89.7,0.544,100,16.67,13.1,105.8,1011.8,71.7,6.0,210.6,18.3,7,2025-05-03T05:45:45,2025-05-03T18:17:13,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"78961300410,78970011634,TTPP,TDW00011634,TTCP,TDW00000410"
"Sangre Grande, Trinidad, Trinidad And Tobago",2025-05-04,89.0,75.8,81.5,99.7,75.8,87.3,76.3,84.7,0.004,100,4.17,14.0,105.0,1012.0,67.4,6.9,202.5,17.5,7,2025-05-04T05:45:25,2025-05-04T18:17:22,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"78961300410,78970011634,TTPP,TDW00011634,TTCP,TDW00000410"
"Sangre Grande, Trinidad, Trinidad And Tobago",2025-05-05,89.3,77.6,82.3,102.2,77.6,88.5,76.5,83.2,0.039,100,8.33,13.2,105.0,1012.0,74.0,6.5,176.9,15.2,6,2025-05-05T05:45:06,2025-05-05T18:17:31,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"78961300410,78970011634,TTPP,TDW00011634,TTCP,TDW00000410"
"Sangre Grande, Trinidad, Trinidad And Tobago",2025-05-06,89.3,77.5,82.6,101.7,77.5,88.3,75.6,80.2,0.0,0,0.0,17.2,98.1,1011.7,43.1,7.4,283.7,24.3,10,2025-05-06T05:44:47,2025-05-06T18:17:41,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78961300410,78970011634,TTPP,TDW00011634,TTCP,TDW00000410"
