name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunset,moonphase,conditions,description,icon,stations
"Scarborough, Tobago, Trinidad And Tobago",2025-04-27,87.7,80.5,83.2,97.8,84.5,89.2,72.8,71.2,0.0,0,0.0,15.0,106.3,1012.2,57.6,7.8,287.9,24.8,10,2025-04-27T05:45:48,2025-04-27T18:15:31,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78961300410,TTCP,TDW00000410"
"Scarborough, Tobago, Trinidad And Tobago",2025-04-28,87.7,78.9,83.3,97.6,78.9,89.6,73.5,72.6,0.0,0,0.0,10.3,104.8,1012.7,51.1,7.9,286.4,24.7,10,2025-04-28T05:45:23,2025-04-28T18:15:39,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78961300410,TTCP,TDW00000410"
"Scarborough, Tobago, Trinidad And Tobago",2025-04-29,87.9,78.9,83.4,99.9,78.9,90.4,74.5,75.0,0.0,0,0.0,16.6,102.5,1011.7,66.6,8.3,273.7,23.7,9,2025-04-29T05:44:59,2025-04-29T18:15:47,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78961300410,TTCP,remote,TDW00000410"
"Scarborough, Tobago, Trinidad And Tobago",2025-04-30,87.7,77.1,82.0,99.6,77.1,87.3,74.5,78.4,0.0,0,0.0,10.3,108.1,1011.3,68.1,7.8,289.2,25.1,9,2025-04-30T05:44:35,2025-04-30T18:15:55,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78961300410,TTCP,TDW00000410"
"Scarborough, Tobago, Trinidad And Tobago",2025-05-01,89.4,77.1,83.3,100.2,77.1,89.6,74.7,75.9,0.0,0,0.0,12.8,105.1,1011.6,52.6,7.7,269.3,23.1,9,2025-05-01T05:44:12,2025-05-01T18:16:03,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78961300410,TTCP,TDW00000410"
"Scarborough, Tobago, Trinidad And Tobago",2025-05-02,87.9,78.6,83.1,99.7,78.6,90.2,75.1,77.2,0.0,0,0.0,10.3,108.3,1011.6,55.7,7.8,268.7,23.3,9,2025-05-02T05:43:50,2025-05-02T18:16:12,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78961300410,TTCP,TDW00000410"
"Scarborough, Tobago, Trinidad And Tobago",2025-05-03,83.9,76.8,79.2,93.8,76.8,82.4,76.0,90.0,1.102,100,16.67,12.8,79.4,1011.9,74.0,6.8,248.7,21.5,9,2025-05-03T05:43:29,2025-05-03T18:16:22,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"78961300410,TTCP,TDW00000410"
"Scarborough, Tobago, Trinidad And Tobago",2025-05-04,85.9,78.6,81.8,98.8,78.6,88.1,76.4,83.8,0.039,100,4.17,12.8,108.3,1012.1,73.0,7.2,217.6,18.8,7,2025-05-04T05:43:08,2025-05-04T18:16:31,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"78961300410,TTCP,remote,TDW00000410"
"Scarborough, Tobago, Trinidad And Tobago",2025-05-05,87.5,80.7,83.4,99.6,86.2,92.0,76.1,78.9,0.0,0,0.0,11.4,115.2,1012.2,71.1,7.6,276.6,24.0,10,2025-05-05T05:42:48,2025-05-05T18:16:41,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78961300410,TTCP,TDW00000410"
"Scarborough, Tobago, Trinidad And Tobago",2025-05-06,87.7,78.7,83.1,97.5,78.7,89.4,74.1,74.6,0.0,0,0.0,12.3,100.0,1012.0,40.5,7.6,288.1,24.8,10,2025-05-06T05:42:29,2025-05-06T18:16:52,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78961300410,TTCP,TDW00000410"
"Scarborough, Tobago, Trinidad And Tobago",2025-05-07,87.7,78.7,82.8,97.8,78.7,88.9,74.3,75.9,0.0,0,0.0,10.3,111.2,1012.1,56.5,7.6,271.2,23.3,9,2025-05-07T05:42:10,2025-05-07T18:17:02,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78961300410,TTCP,TDW00000410"
"Scarborough, Tobago, Trinidad And Tobago",2025-05-08,85.9,80.5,82.8,95.3,85.1,89.4,74.1,75.1,0.0,0,0.0,11.4,101.6,1012.8,71.7,7.6,203.8,17.7,8,2025-05-08T05:41:53,2025-05-08T18:17:14,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78961300410,TTCP,TDW00000410"
"Scarborough, Tobago, Trinidad And Tobago",2025-05-09,87.7,78.6,82.5,99.9,78.6,89.0,75.3,79.3,0.394,100,4.17,13.6,95.3,1013.1,73.2,9.3,243.1,21.0,9,2025-05-09T05:41:36,2025-05-09T18:17:25,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"78961300410,TTCP,remote,TDW00000410"
"Scarborough, Tobago, Trinidad And Tobago",2025-05-10,86.1,78.9,81.9,98.9,78.9,88.3,76.1,82.9,0.422,100,12.5,15.0,98.9,1014.8,70.4,8.4,265.4,23.0,9,2025-05-10T05:41:20,2025-05-10T18:17:37,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"78961300410,TTCP,TDW00000410"
"Scarborough, Tobago, Trinidad And Tobago",2025-05-11,87.6,78.6,83.1,97.6,78.6,88.8,73.9,74.2,0.0,0,0.0,15.0,94.5,1014.7,28.7,8.5,295.1,25.5,10,2025-05-11T05:41:04,2025-05-11T18:17:49,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78961300410,TTCP,TDW00000410"
"Scarborough, Tobago, Trinidad And Tobago",2025-05-12,89.5,78.9,83.0,102.3,78.9,90.3,74.9,76.7,0.0,0,0.0,13.9,102.7,1013.9,40.6,8.2,283.1,24.5,9,2025-05-12T05:40:50,2025-05-12T18:18:02,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78961300410,TTCP,TDW00000410"
"Scarborough, Tobago, Trinidad And Tobago",2025-05-13,87.9,78.7,83.1,99.9,78.7,89.9,75.3,77.8,0.0,0,0.0,18.3,91.2,1012.8,27.7,7.8,249.9,21.6,8,2025-05-13T05:40:36,2025-05-13T18:18:15,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78961300410,TTCP,TDW00000410"
"Scarborough, Tobago, Trinidad And Tobago",2025-05-14,87.8,76.9,81.3,102.1,76.9,86.5,76.0,84.5,0.768,100,16.67,19.7,105.6,1012.5,47.9,6.7,243.6,21.2,8,2025-05-14T05:40:23,2025-05-14T18:18:28,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"78961300410,TTCP,TDW00000410"
"Scarborough, Tobago, Trinidad And Tobago",2025-05-15,87.9,80.6,83.4,102.1,86.3,91.9,76.2,79.2,0.031,100,4.17,18.3,93.7,1012.7,31.8,7.3,274.3,23.7,9,2025-05-15T05:40:11,2025-05-15T18:18:41,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"78961300410,TTCP,TDW00000410"
"Scarborough, Tobago, Trinidad And Tobago",2025-05-16,87.5,78.3,83.0,101.6,78.3,90.2,75.9,79.6,0.079,100,4.17,17.2,94.3,1012.7,60.3,7.3,282.4,24.4,9,2025-05-16T05:40:00,2025-05-16T18:18:55,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"78961300410,TTCP,remote,TDW00000410"
"Scarborough, Tobago, Trinidad And Tobago",2025-05-17,87.6,79.0,83.2,102.1,79.0,91.6,76.3,80.0,0.197,100,4.17,23.0,98.7,1012.4,72.2,6.5,212.2,18.2,8,2025-05-17T05:39:49,2025-05-17T18:19:09,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"78961300410,TTCP,TDW00000410"
"Scarborough, Tobago, Trinidad And Tobago",2025-05-18,84.2,82.1,82.6,92.6,89.0,89.9,75.3,78.8,0.0,0,0.0,15.0,98.5,1013.0,70.2,6.4,238.8,20.5,8,2025-05-18T05:39:40,2025-05-18T18:19:24,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78961300410,TTCP,TDW00000410"
"Scarborough, Tobago, Trinidad And Tobago",2025-05-19,86.1,80.6,83.0,97.5,86.3,91.2,76.0,79.5,0.0,0,0.0,15.0,105.4,1013.2,72.2,6.6,177.7,15.3,6,2025-05-19T05:39:31,2025-05-19T18:19:38,0.74,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78961300410,TTCP,remote,TDW00000410"
"Scarborough, Tobago, Trinidad And Tobago",2025-05-20,84.3,78.7,81.8,94.5,78.7,88.8,76.2,83.4,0.103,100,8.33,15.0,104.1,1013.2,77.1,7.0,143.8,12.5,5,2025-05-20T05:39:23,2025-05-20T18:19:53,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"78961300410,TTCP,TDW00000410"
"Scarborough, Tobago, Trinidad And Tobago",2025-05-21,85.9,78.8,81.8,97.1,78.8,88.1,75.5,81.1,0.0,0,0.0,18.3,86.6,1013.3,69.0,7.3,220.8,19.2,7,2025-05-21T05:39:16,2025-05-21T18:20:08,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78961300410,TTCP,TDW00000410"
"Scarborough, Tobago, Trinidad And Tobago",2025-05-22,87.5,79.0,83.3,99.4,79.0,90.9,75.3,77.1,0.0,0,0.0,17.2,89.9,1013.8,64.1,7.3,225.4,19.5,8,2025-05-22T05:39:09,2025-05-22T18:20:24,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78961300410,TTCP,TDW00000410"
"Scarborough, Tobago, Trinidad And Tobago",2025-05-23,87.8,80.5,83.2,96.2,85.2,89.9,74.2,74.7,0.906,100,4.17,18.3,93.2,1015.2,68.4,7.3,276.8,23.9,9,2025-05-23T05:39:04,2025-05-23T18:20:39,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"78961300410,TTCP,TDW00000410"
"Scarborough, Tobago, Trinidad And Tobago",2025-05-24,87.6,80.4,83.0,102.0,85.0,90.5,75.2,77.5,0.07,100,8.33,17.2,92.9,1015.0,47.8,7.1,267.8,23.2,9,2025-05-24T05:38:59,2025-05-24T18:20:55,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"78961300410,TTCP,TDW00000410"
"Scarborough, Tobago, Trinidad And Tobago",2025-05-25,87.5,80.4,83.1,99.4,85.8,91.0,75.7,78.7,0.012,100,4.17,23.0,90.3,1014.6,64.0,7.2,216.0,18.6,7,2025-05-25T05:38:55,2025-05-25T18:21:11,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"78961300410,TTCP,TDW00000410"
"Scarborough, Tobago, Trinidad And Tobago",2025-05-26,87.6,81.8,83.8,99.5,88.1,91.9,75.4,76.0,0.0,0,0.0,18.3,91.6,1015.0,52.8,6.5,245.6,21.2,8,2025-05-26T05:38:52,2025-05-26T18:21:28,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78961300410,TTCP,TDW00000410"
"Scarborough, Tobago, Trinidad And Tobago",2025-05-27,87.5,78.8,82.1,97.3,78.8,88.1,74.9,79.1,0.008,100,4.17,19.7,88.6,1015.3,56.1,6.5,248.1,21.4,9,2025-05-27T05:38:49,2025-05-27T18:21:44,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"78961300410,TTCP,TDW00000410"
"Scarborough, Tobago, Trinidad And Tobago",2025-05-28,86.2,78.6,81.1,97.8,78.6,85.2,75.0,82.3,0.197,100,8.33,21.9,85.8,1015.7,66.8,6.8,265.9,23.0,8,2025-05-28T05:38:48,2025-05-28T18:22:00,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"78961300410,TTCP,TDW00000410"
"Scarborough, Tobago, Trinidad And Tobago",2025-05-29,87.5,76.8,82.2,101.6,76.8,89.4,76.6,83.2,0.256,100,12.5,20.8,89.9,1015.6,47.8,7.3,200.5,17.5,7,2025-05-29T05:38:47,2025-05-29T18:22:17,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"78961300410,TTCP,TDW00000410"
"Scarborough, Tobago, Trinidad And Tobago",2025-05-30,84.1,78.5,81.2,96.0,78.5,87.7,76.7,86.3,0.441,100,12.5,21.9,90.9,1014.9,68.2,7.5,231.4,19.9,8,2025-05-30T05:38:47,2025-05-30T18:22:34,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"78961300410,TTCP,TDW00000410"
"Scarborough, Tobago, Trinidad And Tobago",2025-05-31,86.2,78.9,83.0,97.4,78.9,90.4,75.5,78.5,0.079,100,4.17,21.6,93.4,1014.6,68.5,6.4,270.6,23.4,9,2025-05-31T05:38:48,2025-05-31T18:22:50,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"78961300410,TTCP,TDW00000410"
