name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunset,moonphase,conditions,description,icon,stations
"Siparia, Trinidad, Trinidad And Tobago",2025-04-27,86.2,75.3,80.9,90.7,75.3,83.4,70.9,72.5,0.0,0,0.0,15.0,110.2,1011.9,58.4,7.7,261.7,22.5,9,2025-04-27T05:49:58,2025-04-27T18:17:30,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,TTPP,TDW00011634"
"Siparia, Trinidad, Trinidad And Tobago",2025-04-28,88.0,76.8,82.1,98.0,76.8,86.6,74.0,77.0,0.0,0,0.0,17.2,106.5,1012.4,61.4,7.5,291.1,25.2,10,2025-04-28T05:49:34,2025-04-28T18:17:36,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,TTPP,TDW00011634"
"Siparia, Trinidad, Trinidad And Tobago",2025-04-29,89.4,76.8,82.3,102.0,76.8,88.2,75.3,80.1,0.0,0,0.0,16.1,114.6,1012.2,63.0,7.0,269.0,23.3,9,2025-04-29T05:49:12,2025-04-29T18:17:42,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,3EBY2,TTPP,TDW00011634"
"Siparia, Trinidad, Trinidad And Tobago",2025-04-30,88.0,75.3,81.8,97.0,75.3,85.2,72.1,73.9,0.0,0,0.0,13.9,109.9,1011.2,72.8,6.0,275.7,23.8,10,2025-04-30T05:48:50,2025-04-30T18:17:49,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,3EBY2,TTPP,TDW00011634"
"Siparia, Trinidad, Trinidad And Tobago",2025-05-01,89.5,76.9,82.3,94.8,76.9,85.5,72.0,72.3,0.0,0,0.0,15.0,107.1,1011.4,63.4,7.0,265.3,22.8,9,2025-05-01T05:48:28,2025-05-01T18:17:56,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,TTPP,TDW00011634"
"Siparia, Trinidad, Trinidad And Tobago",2025-05-02,89.7,75.3,82.1,102.1,75.3,88.2,74.5,78.4,0.0,0,0.0,13.9,99.4,1011.4,57.1,7.2,251.1,21.8,8,2025-05-02T05:48:08,2025-05-02T18:18:04,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,TTPP,TDW00011634"
"Siparia, Trinidad, Trinidad And Tobago",2025-05-03,82.6,75.2,79.3,91.3,75.2,82.7,76.0,89.7,0.476,100,8.33,13.9,107.4,1011.8,72.9,5.9,205.7,17.6,7,2025-05-03T05:47:48,2025-05-03T18:18:11,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"78970011634,TTPP,TDW00011634"
"Siparia, Trinidad, Trinidad And Tobago",2025-05-04,89.4,75.4,81.5,100.0,75.4,87.2,76.3,84.8,0.0,0,0.0,15.0,104.1,1012.0,68.9,6.9,174.8,15.1,7,2025-05-04T05:47:28,2025-05-04T18:18:20,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,TTPP,TDW00011634"
"Siparia, Trinidad, Trinidad And Tobago",2025-05-05,89.5,77.2,82.4,102.5,77.2,88.9,76.7,83.6,0.043,100,8.33,13.9,105.8,1012.4,76.3,6.5,122.9,10.7,4,2025-05-05T05:47:10,2025-05-05T18:18:28,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"78970011634,3EBY2,TTPP,TDW00011634"
"Siparia, Trinidad, Trinidad And Tobago",2025-05-06,89.6,77.1,82.6,102.3,77.1,88.4,75.9,80.9,0.0,0,0.0,18.3,97.0,1011.9,44.5,7.5,277.5,23.9,10,2025-05-06T05:46:52,2025-05-06T18:18:37,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,3EBY2,TTPP,TDW00011634"
