name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunset,moonphase,conditions,description,icon,stations
"Tunapunas-Piarco, Trinidad, Trinidad and Tobago",2025-04-27,86.2,75.3,80.9,90.7,75.3,83.4,70.9,72.6,0.0,0,0.0,15.0,110.7,1011.8,51.1,7.3,272.8,23.8,9,2025-04-27T05:48:40,2025-04-27T18:17:21,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78961300410,78970011634,TTPP,TDW00011634,TTCP,TDW00000410"
"Tunapunas-Piarco, Trinidad, Trinidad and Tobago",2025-04-28,87.9,76.9,82.1,97.9,76.9,86.6,73.9,76.9,0.0,0,0.0,17.1,106.6,1012.3,51.5,7.1,301.2,25.8,10,2025-04-28T05:48:16,2025-04-28T18:17:28,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78961300410,78970011634,TTPP,TDW00011634,TTCP,TDW00000410"
"Tunapunas-Piarco, Trinidad, Trinidad and Tobago",2025-04-29,89.4,76.9,82.2,102.1,76.9,87.6,75.1,79.8,0.0,0,0.0,16.0,114.7,1011.4,52.6,6.6,279.3,24.0,9,2025-04-29T05:47:52,2025-04-29T18:17:35,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78961300410,78970011634,TTPP,TDW00011634,TTCP,TDW00000410"
"Tunapunas-Piarco, Trinidad, Trinidad and Tobago",2025-04-30,87.9,75.3,81.8,96.9,75.3,85.3,72.2,73.8,0.0,0,0.0,13.8,108.7,1010.9,62.0,5.8,295.7,25.7,10,2025-04-30T05:47:29,2025-04-30T18:17:42,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78961300410,78970011634,TTPP,TDW00011634,TTCP,TDW00000410"
"Tunapunas-Piarco, Trinidad, Trinidad and Tobago",2025-05-01,89.5,76.9,82.3,94.9,76.9,85.5,72.1,72.4,0.0,0,0.0,14.9,107.4,1011.3,53.7,6.8,255.2,22.0,10,2025-05-01T05:47:07,2025-05-01T18:17:50,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78961300410,78970011634,TTPP,TDW00011634,TTCP,TDW00000410"
"Tunapunas-Piarco, Trinidad, Trinidad and Tobago",2025-05-02,89.6,75.3,82.1,102.0,75.3,88.1,74.5,78.4,0.0,0,0.0,13.8,100.1,1011.3,47.1,6.9,270.7,23.3,9,2025-05-02T05:46:46,2025-05-02T18:17:58,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78961300410,78970011634,TTPP,TDW00011634,TTCP,TDW00000410"
"Tunapunas-Piarco, Trinidad, Trinidad and Tobago",2025-05-03,82.6,75.2,79.3,91.1,75.2,82.6,76.0,89.7,0.492,100,16.67,13.7,107.3,1011.7,64.3,5.9,219.4,19.0,8,2025-05-03T05:46:25,2025-05-03T18:18:07,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"78961300410,78970011634,TTPP,TDW00011634,TTCP,TDW00000410"
"Tunapunas-Piarco, Trinidad, Trinidad and Tobago",2025-05-04,89.4,75.4,81.5,100.0,75.4,87.2,76.3,84.8,0.001,100,4.17,14.8,104.3,1011.9,56.9,6.7,222.7,19.2,8,2025-05-04T05:46:05,2025-05-04T18:18:16,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"78961300410,78970011634,TTPP,TDW00011634,TTCP,TDW00000410"
"Tunapunas-Piarco, Trinidad, Trinidad and Tobago",2025-05-05,89.5,77.2,82.2,102.4,77.2,88.3,76.6,83.7,0.042,100,8.33,13.8,103.9,1011.9,65.5,6.2,220.1,19.1,8,2025-05-05T05:45:46,2025-05-05T18:18:25,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"78961300410,78970011634,TTPP,TDW00011634,TTCP,TDW00000410"
"Tunapunas-Piarco, Trinidad, Trinidad and Tobago",2025-05-06,89.5,77.1,82.6,102.2,77.1,88.3,75.8,80.8,0.0,0,0.0,18.1,97.7,1011.6,40.8,7.1,286.9,24.8,9,2025-05-06T05:45:27,2025-05-06T18:18:35,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78961300410,78970011634,TTPP,TDW00011634,TTCP,TDW00000410"
