name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Arima, Trinidad, Trinidad And Tobago",2025-04-27,86.2,75.3,80.9,90.7,75.3,83.4,70.9,72.6,0,0,0,rain,0,0,24.2,15,110.3,1011.9,54.1,7.4,272.8,23.8,9,10,2025-04-27T05:48:35,2025-04-27T18:17:08,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78961300410,78970011634,TTPP,TDW00011634,TTCP,TDW00000410"
"Arima, Trinidad, Trinidad And Tobago",2025-04-28,88,76.8,82.1,97.9,76.8,86.6,74,76.9,0,0,0,,0,0,24.8,17.2,106.4,1012.4,55.6,7.2,301.2,25.8,10,10,2025-04-28T05:48:11,2025-04-28T18:17:15,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78961300410,78970011634,TTPP,TDW00011634,TTCP,TDW00000410"
"Arima, Trinidad, Trinidad And Tobago",2025-04-29,89.4,76.8,82.2,102.1,76.8,87.6,75.1,79.9,0,0,0,rain,0,0,25.3,16,114.2,1011.5,56.8,6.7,279.3,24,9,10,2025-04-29T05:47:47,2025-04-29T18:17:22,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78961300410,78970011634,TTPP,TDW00011634,TTCP,TDW00000410"
"Arima, Trinidad, Trinidad And Tobago",2025-04-30,87.9,75.3,81.8,97,75.3,85.3,72.2,73.8,0,0,0,,0,0,22.4,13.8,108.5,1011,66.3,5.8,295.7,25.7,10,10,2025-04-30T05:47:25,2025-04-30T18:17:29,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78961300410,78970011634,TTPP,TDW00011634,TTCP,TDW00000410"
"Arima, Trinidad, Trinidad And Tobago",2025-05-01,89.5,76.9,82.3,94.9,76.9,85.5,72,72.4,0,0,0,,0,0,22.6,14.9,107.1,1011.3,57.7,6.9,255.2,22,10,10,2025-05-01T05:47:03,2025-05-01T18:17:37,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78961300410,78970011634,TTPP,TDW00011634,TTCP,TDW00000410"
"Arima, Trinidad, Trinidad And Tobago",2025-05-02,89.6,75.3,82.1,102.1,75.3,88.1,74.5,78.4,0,0,0,rain,0,0,22.6,13.8,99.6,1011.4,51.2,7.1,270.7,23.3,9,30,2025-05-02T05:46:41,2025-05-02T18:17:45,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78961300410,78970011634,TTPP,TDW00011634,TTCP,TDW00000410"
"Arima, Trinidad, Trinidad And Tobago",2025-05-03,82.6,75.2,79.3,91.2,75.2,82.7,76,89.7,0.484,100,16.67,rain,0,0,19.9,13.8,107.3,1011.8,67.8,5.9,219.4,19,8,30,2025-05-03T05:46:21,2025-05-03T18:17:54,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"78961300410,78970011634,TTPP,TDW00011634,TTCP,TDW00000410"
"Arima, Trinidad, Trinidad And Tobago",2025-05-04,89.4,75.4,81.5,100,75.4,87.2,76.3,84.8,0,0,0,rain,0,0,19,14.9,104.2,1012,61.8,6.8,222.7,19.2,8,30,2025-05-04T05:46:01,2025-05-04T18:18:03,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78961300410,78970011634,TTPP,TDW00011634,TTCP,TDW00000410"
"Arima, Trinidad, Trinidad And Tobago",2025-05-05,89.5,77.2,82.2,102.4,77.2,88.3,76.6,83.7,0.043,100,8.33,rain,0,0,17.2,13.8,103.6,1011.9,69.9,6.3,220.1,19.1,8,30,2025-05-05T05:45:41,2025-05-05T18:18:12,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"78961300410,78970011634,TTPP,TDW00011634,TTCP,TDW00000410"
"Arima, Trinidad, Trinidad And Tobago",2025-05-06,89.6,77.1,82.6,102.3,77.1,88.4,75.8,80.9,0,0,0,rain,0,0,21.7,18.2,97.4,1011.6,42.1,7.2,286.9,24.8,9,30,2025-05-06T05:45:23,2025-05-06T18:18:22,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78961300410,78970011634,TTPP,TDW00011634,TTCP,TDW00000410"
