name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Chaguanas, Trinidad, Trinidad And Tobago",2025-04-27,86.3,75.3,80.9,90.7,75.3,83.4,70.9,72.5,0,0,0,rain,0,0,18.3,15,110.2,1011.9,60.4,7.8,268.6,23.4,9,10,2025-04-27T05:49:10,2025-04-27T18:17:35,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,TTPP,TDW00011634"
"Chaguanas, Trinidad, Trinidad And Tobago",2025-04-28,88.1,76.8,82.2,98.1,76.8,86.7,74,77,0,0,0,,0,0,19.7,17.2,106.5,1012.5,64.1,7.6,298.4,25.6,10,10,2025-04-28T05:48:46,2025-04-28T18:17:42,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,TTPP,TDW00011634"
"Chaguanas, Trinidad, Trinidad And Tobago",2025-04-29,89.4,76.8,82.2,102,76.8,87.6,75.1,79.9,0,0,0,rain,0,0,19.2,16.1,113.9,1011.6,65.9,6.9,276.3,23.8,9,10,2025-04-29T05:48:23,2025-04-29T18:17:49,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,3EBY2,TTPP,TDW00011634"
"Chaguanas, Trinidad, Trinidad And Tobago",2025-04-30,88.1,75.3,81.8,97,75.3,85.3,72.1,73.7,0,0,0,rain,0,0,15.2,13.9,107.7,1011.1,75.6,5.9,287.7,24.8,10,30,2025-04-30T05:48:00,2025-04-30T18:17:56,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,3EBY2,TTPP,TDW00011634"
"Chaguanas, Trinidad, Trinidad And Tobago",2025-05-01,89.5,76.9,82.3,94.8,76.9,85.5,72,72.3,0,0,0,,0,0,17.2,15,107.1,1011.4,66,7.1,262.7,22.6,10,30,2025-05-01T05:47:38,2025-05-01T18:18:04,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,TTPP,TDW00011634"
"Chaguanas, Trinidad, Trinidad And Tobago",2025-05-02,89.7,75.3,82.1,102,75.3,88.2,74.5,78.4,0,0,0,rain,0,0,15.4,13.9,99.4,1011.4,59.9,7.3,264.9,23,9,30,2025-05-02T05:47:17,2025-05-02T18:18:12,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,TTPP,TDW00011634"
"Chaguanas, Trinidad, Trinidad And Tobago",2025-05-03,82.7,75.2,79.3,91.4,75.2,82.7,76,89.7,0.476,100,8.33,rain,0,0,17.2,13.9,107.4,1011.8,75.4,5.9,209.6,18,8,30,2025-05-03T05:46:56,2025-05-03T18:18:20,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"78970011634,TTPP,TDW00011634"
"Chaguanas, Trinidad, Trinidad And Tobago",2025-05-04,89.4,75.5,81.5,100,75.5,87.2,76.3,84.8,0,0,0,rain,0,0,15.4,15,104.1,1012,72.2,7,200.4,17.2,7,30,2025-05-04T05:46:37,2025-05-04T18:18:29,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,TTPP,TDW00011634"
"Chaguanas, Trinidad, Trinidad And Tobago",2025-05-05,89.5,77.3,82.2,102.5,77.3,88.3,76.6,83.8,0.043,100,8.33,rain,0,0,13.6,13.9,103.6,1012,79.3,6.4,164.5,14.2,6,30,2025-05-05T05:46:17,2025-05-05T18:18:38,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"78970011634,3EBY2,TTPP,TDW00011634"
"Chaguanas, Trinidad, Trinidad And Tobago",2025-05-06,89.6,77.1,82.6,102.3,77.1,88.4,75.9,80.9,0,0,0,rain,0,0,16.1,18.3,97.5,1011.7,44.9,7.6,287,24.8,10,30,2025-05-06T05:45:59,2025-05-06T18:18:48,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,3EBY2,TTPP,TDW00011634"
"Chaguanas, Trinidad, Trinidad And Tobago",2025-05-07,89.5,75,82,102.3,75,88.1,75.1,80.5,0,0,0,rain,0,0,16.1,16.1,113.4,1011.9,62.2,7.6,272.5,23.6,9,30,2025-05-07T05:45:41,2025-05-07T18:18:58,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,3EBY2,TTPP,TDW00011634"
"Chaguanas, Trinidad, Trinidad And Tobago",2025-05-08,89.4,77.3,82.6,101.9,77.3,88.7,75.4,79.5,0,0,0,rain,0,0,17,15,102.8,1012.7,74.4,7,188,16.1,7,30,2025-05-08T05:45:25,2025-05-08T18:19:08,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,3EBY2,TTPP,TDW00011634"
"Chaguanas, Trinidad, Trinidad And Tobago",2025-05-09,87.8,76.9,81.3,99.7,76.9,86.5,76.2,85,0.039,100,4.17,rain,0,0,19.2,15,105.2,1012.9,76,7,243.6,21,8,30,2025-05-09T05:45:08,2025-05-09T18:19:19,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"78970011634,3EBY2,TTPP,TDW00011634"
"Chaguanas, Trinidad, Trinidad And Tobago",2025-05-10,87.6,75.3,80.6,99.9,75.3,85.4,76.1,86.7,0.012,100,4.17,rain,0,0,19.7,15,106.8,1014.7,71.6,6.9,218.6,18.9,8,30,2025-05-10T05:44:53,2025-05-10T18:19:30,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"78970011634,3EBY2,TTPP,TDW00011634"
"Chaguanas, Trinidad, Trinidad And Tobago",2025-05-11,89.3,75.1,81.6,99.9,75.1,86.1,74.6,80.5,0,0,0,,0,0,19,17.2,96.9,1014.5,37.7,8.4,300.3,25.9,10,10,2025-05-11T05:44:39,2025-05-11T18:19:41,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,TTPP,TDW00011634"
"Chaguanas, Trinidad, Trinidad And Tobago",2025-05-12,91.3,74.9,82.1,102.8,74.9,88.5,75.3,80.8,0,0,0,rain,0,0,17,11.5,108.1,1013.6,47.6,7.7,261.8,22.5,9,30,2025-05-12T05:44:25,2025-05-12T18:19:53,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,3EBY2,TTPP,TDW00011634"
"Chaguanas, Trinidad, Trinidad And Tobago",2025-05-13,89.3,77,81.8,102.2,77,87,76.2,83.7,0.016,100,4.17,rain,0,0,19.5,17.2,103.4,1012.6,54.5,6.8,249.3,21.5,9,30,2025-05-13T05:44:12,2025-05-13T18:20:05,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"78970011634,TTPP,TDW00011634"
"Chaguanas, Trinidad, Trinidad And Tobago",2025-05-14,82.3,76.8,78.8,92,76.8,81.1,76.1,91.6,0.642,100,12.5,rain,0,0,22.4,13.9,103,1012.6,69.4,6.4,249.1,21.6,8,30,2025-05-14T05:44:00,2025-05-14T18:20:18,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"78970011634,TTPP,TDW00011634"
