name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Point Fortin, Trinidad, Trinidad And Tobago",2025-04-27,86.2,75.3,80.9,90.7,75.3,83.4,70.9,72.5,0,0,0,rain,0,0,23.9,15,110.2,1011.9,58.1,7.7,272.9,23.4,9,10,2025-04-27T05:50:39,2025-04-27T18:18:15,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,TTPP,TDW00011634"
"Point Fortin, Trinidad, Trinidad And Tobago",2025-04-28,88,76.8,82.1,98,76.8,86.6,74,77,0,0,0,rain,0,0,22.6,17.2,106.5,1012.4,61.1,7.5,295.4,25.4,10,10,2025-04-28T05:50:16,2025-04-28T18:18:21,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,TTPP,TDW00011634"
"Point Fortin, Trinidad, Trinidad And Tobago",2025-04-29,89.4,76.8,82.5,102,76.8,88.7,75.6,80.3,0,0,0,rain,0,0,20.8,16.1,113.3,1012.7,62.7,7.1,268.3,23.1,9,10,2025-04-29T05:49:53,2025-04-29T18:18:28,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,3EBY2,TTPP,TDW00011634"
"Point Fortin, Trinidad, Trinidad And Tobago",2025-04-30,88,75.3,81.7,97,75.3,85.1,72.1,74,0,0,0,,0,0,17.4,13.9,110.4,1011.3,72.7,6.1,279,24.1,10,10,2025-04-30T05:49:31,2025-04-30T18:18:35,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,3EBY2,TTPP,TDW00011634"
"Point Fortin, Trinidad, Trinidad And Tobago",2025-05-01,89.5,76.9,82.3,94.8,76.9,85.5,72,72.3,0,0,0,rain,0,0,18.6,15,107.1,1011.4,63,7,277.2,23.7,10,30,2025-05-01T05:49:09,2025-05-01T18:18:42,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,TTPP,TDW00011634"
"Point Fortin, Trinidad, Trinidad And Tobago",2025-05-02,89.7,75.3,82.1,102.1,75.3,88.2,74.5,78.4,0,0,0,rain,0,0,19.9,13.9,99.4,1011.4,56.8,7.2,259.8,22.4,8,30,2025-05-02T05:48:49,2025-05-02T18:18:49,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,TTPP,TDW00011634"
"Point Fortin, Trinidad, Trinidad And Tobago",2025-05-03,82.6,75.2,79.3,91.3,75.2,82.7,76,89.7,0.476,100,8.33,rain,0,0,20.1,13.9,107.4,1011.8,72.6,5.9,213.5,18.5,8,30,2025-05-03T05:48:29,2025-05-03T18:18:57,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"78970011634,TTPP,TDW00011634"
"Point Fortin, Trinidad, Trinidad And Tobago",2025-05-04,89.4,75.4,81.5,100,75.4,87.2,76.3,84.8,0,0,0,rain,0,0,18.6,15,104.1,1012,68.4,6.9,176.3,15,7,30,2025-05-04T05:48:09,2025-05-04T18:19:05,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,TTPP,TDW00011634"
"Point Fortin, Trinidad, Trinidad And Tobago",2025-05-05,89.5,77.2,82.5,102.5,77.2,89.5,76.8,83.5,0.043,100,8.33,rain,0,0,17.7,13.9,107.2,1012.8,75.8,6.7,118.7,10.3,4,30,2025-05-05T05:47:51,2025-05-05T18:19:14,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"78970011634,3EBY2,TTPP,TDW00011634"
"Point Fortin, Trinidad, Trinidad And Tobago",2025-05-06,89.6,77.1,82.6,102.3,77.1,88.5,75.9,80.9,0,0,0,,0,0,19.7,18.3,96.1,1012,44.8,7.6,279.2,24.1,10,30,2025-05-06T05:47:33,2025-05-06T18:19:23,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,3EBY2,TTPP,TDW00011634"
