name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Port of Spain, Trinidad, Trinidad And Tobago",2025-04-27,86.2,75.3,80.9,90.6,75.3,83.4,70.9,72.5,0,0,0,rain,0,0,23,15,110.2,1011.9,56.2,7.6,274.1,23.7,9,10,2025-04-27T05:49:28,2025-04-27T18:18:05,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,TTPP,TDW00011634"
"Port of Spain, Trinidad, Trinidad And Tobago",2025-04-28,88,76.8,82.1,98,76.8,86.6,74,77,0,0,0,,0,0,22.4,17.2,106.5,1012.4,58.5,7.4,302.1,26,10,10,2025-04-28T05:49:03,2025-04-28T18:18:12,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,TTPP,TDW00011634"
"Port of Spain, Trinidad, Trinidad And Tobago",2025-04-29,89.4,76.8,82.2,102.1,76.8,87.6,75.1,80,0,0,0,rain,0,0,22.1,16.1,114.1,1011.6,59.9,6.8,279.2,24.1,9,10,2025-04-29T05:48:40,2025-04-29T18:18:19,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,3EBY2,TTPP,TDW00011634"
"Port of Spain, Trinidad, Trinidad And Tobago",2025-04-30,88,75.3,81.8,97,75.3,85.3,72.1,73.8,0,0,0,rain,0,0,18.1,13.9,108.6,1011,69.6,5.9,296.1,25.7,10,30,2025-04-30T05:48:17,2025-04-30T18:18:26,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,3EBY2,TTPP,TDW00011634"
"Port of Spain, Trinidad, Trinidad And Tobago",2025-05-01,89.5,76.9,82.3,94.8,76.9,85.5,72,72.3,0,0,0,,0,0,20.4,15,107.1,1011.4,60.6,7,258.6,22.5,10,10,2025-05-01T05:47:55,2025-05-01T18:18:34,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,TTPP,TDW00011634"
"Port of Spain, Trinidad, Trinidad And Tobago",2025-05-02,89.7,75.3,82.1,102.1,75.3,88.1,74.5,78.4,0,0,0,rain,0,0,20.8,13.9,99.4,1011.4,54.2,7.2,275.8,23.9,9,30,2025-05-02T05:47:34,2025-05-02T18:18:42,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,TTPP,TDW00011634"
"Port of Spain, Trinidad, Trinidad And Tobago",2025-05-03,82.6,75.2,79.3,91.3,75.2,82.7,76,89.7,0.476,100,8.33,rain,0,0,18.6,13.9,107.4,1011.8,70.4,5.9,216.4,18.6,8,30,2025-05-03T05:47:13,2025-05-03T18:18:51,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"78970011634,TTPP,TDW00011634"
"Port of Spain, Trinidad, Trinidad And Tobago",2025-05-04,89.4,75.4,81.5,100,75.4,87.2,76.3,84.8,0,0,0,rain,0,0,17.4,15,104.1,1012,65.3,6.8,220.8,19.2,8,30,2025-05-04T05:46:53,2025-05-04T18:19:00,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,TTPP,TDW00011634"
"Port of Spain, Trinidad, Trinidad And Tobago",2025-05-05,89.5,77.2,82.2,102.5,77.2,88.6,76.6,83.8,0.043,100,8.33,rain,0,0,17.2,13.9,103.9,1012,73.2,6.4,211.5,18.1,8,30,2025-05-05T05:46:34,2025-05-05T18:19:09,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"78970011634,3EBY2,TTPP,TDW00011634"
"Port of Spain, Trinidad, Trinidad And Tobago",2025-05-06,89.6,77.1,82.6,102.3,77.1,88.4,75.8,80.9,0,0,0,rain,0,0,19.2,18.3,97.4,1011.7,43.2,7.4,292.8,25.1,10,30,2025-05-06T05:46:15,2025-05-06T18:19:19,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,3EBY2,TTPP,TDW00011634"
"Port of Spain, Trinidad, Trinidad And Tobago",2025-05-07,89.5,75,82,102.3,75,88.1,75.1,80.4,0,0,0,rain,0,0,17.4,16.1,113.4,1011.8,57.4,7.4,275.4,23.8,9,30,2025-05-07T05:45:58,2025-05-07T18:19:29,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,3EBY2,TTPP,TDW00011634"
"Port of Spain, Trinidad, Trinidad And Tobago",2025-05-08,89.4,77.2,82.6,102,77.2,88.7,75.5,79.6,0,0,0,rain,0,0,21.7,15.1,103,1012.7,67.2,6.9,185.2,16,7,30,2025-05-08T05:45:41,2025-05-08T18:19:39,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,3EBY2,TTPP,TDW00011634"
"Port of Spain, Trinidad, Trinidad And Tobago",2025-05-09,87.8,76.9,81.3,99.7,76.9,86.4,76.2,85,0.039,100,4.17,rain,0,0,19.5,15,105.2,1012.9,69.7,6.9,242.2,20.8,8,30,2025-05-09T05:45:24,2025-05-09T18:19:50,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"78970011634,3EBY2,TTPP,TDW00011634"
"Port of Spain, Trinidad, Trinidad And Tobago",2025-05-10,87.6,75.3,80.6,99.9,75.3,85.4,76.1,86.6,0.012,100,4.17,rain,0,0,21.7,15,106.9,1014.7,66.7,6.8,245.2,21.1,9,30,2025-05-10T05:45:09,2025-05-10T18:20:01,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"78970011634,3EBY2,TTPP,TDW00011634"
"Port of Spain, Trinidad, Trinidad And Tobago",2025-05-11,89.3,75.1,81.6,99.9,75.1,86.1,74.6,80.5,0,0,0,,0,0,23.7,17.2,96.9,1014.5,36.1,8,302.6,26.1,10,10,2025-05-11T05:44:54,2025-05-11T18:20:13,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,TTPP,TDW00011634"
"Port of Spain, Trinidad, Trinidad And Tobago",2025-05-12,91.3,74.9,82,102.7,74.9,88.4,75.2,80.8,0,0,0,rain,0,0,20.8,12.2,109.2,1013.7,46.2,7.5,272.6,23.5,9,30,2025-05-12T05:44:40,2025-05-12T18:20:25,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,3EBY2,TTPP,TDW00011634"
"Port of Spain, Trinidad, Trinidad And Tobago",2025-05-13,89.3,77,81.8,102.2,77,87,76.1,83.7,0.016,100,4.17,rain,0,0,25.7,17.2,103.4,1012.5,52.5,6.7,252.4,21.8,9,30,2025-05-13T05:44:27,2025-05-13T18:20:37,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"78970011634,TTPP,TDW00011634"
