name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Princes Town, Trinidad, Trinidad And Tobago",2025-04-27,86.2,75.3,80.9,90.7,75.3,83.4,70.9,72.5,0,0,0,rain,0,0,25.9,15,110.2,1011.9,58.9,7.7,254.8,22.1,8,10,2025-04-27T05:49:14,2025-04-27T18:17:02,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,TTPP,TDW00011634"
"Princes Town, Trinidad, Trinidad And Tobago",2025-04-28,88,76.8,82.1,98,76.8,86.6,74,77,0,0,0,,0,0,25.9,17.2,106.5,1012.4,62.1,7.5,288.5,24.9,9,10,2025-04-28T05:48:50,2025-04-28T18:17:08,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,TTPP,TDW00011634"
"Princes Town, Trinidad, Trinidad And Tobago",2025-04-29,89.4,76.8,82.2,102,76.8,87.7,75.2,80,0,0,0,rain,0,0,25.7,16.1,114,1011.8,63.8,6.9,271.9,23.5,9,10,2025-04-29T05:48:27,2025-04-29T18:17:14,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,3EBY2,TTPP,TDW00011634"
"Princes Town, Trinidad, Trinidad And Tobago",2025-04-30,88,75.3,81.8,97,75.3,85.3,72.1,73.8,0,0,0,,0,0,23.3,13.9,108.7,1011.1,73.5,5.9,273.9,23.8,9,10,2025-04-30T05:48:05,2025-04-30T18:17:21,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,3EBY2,TTPP,TDW00011634"
"Princes Town, Trinidad, Trinidad And Tobago",2025-05-01,89.5,76.9,82.3,94.8,76.9,85.5,72,72.3,0,0,0,,0,0,22.8,15,107.1,1011.4,64.1,7,256.4,22.2,9,10,2025-05-01T05:47:44,2025-05-01T18:17:29,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,TTPP,TDW00011634"
"Princes Town, Trinidad, Trinidad And Tobago",2025-05-02,89.7,75.3,82.1,102,75.3,88.1,74.5,78.4,0,0,0,rain,0,0,22.6,13.9,99.4,1011.4,57.9,7.3,245.3,21.3,9,30,2025-05-02T05:47:23,2025-05-02T18:17:36,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,TTPP,TDW00011634"
"Princes Town, Trinidad, Trinidad And Tobago",2025-05-03,82.6,75.2,79.3,91.3,75.2,82.7,76,89.7,0.476,100,8.33,rain,0,0,22.1,13.9,107.4,1011.8,73.6,5.9,197.7,17.2,7,30,2025-05-03T05:47:03,2025-05-03T18:17:44,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"78970011634,TTPP,TDW00011634"
"Princes Town, Trinidad, Trinidad And Tobago",2025-05-04,89.4,75.4,81.5,100,75.4,87.2,76.3,84.8,0,0,0,rain,0,0,19,15,104.1,1012,69.7,6.9,174.4,15.1,7,30,2025-05-04T05:46:43,2025-05-04T18:17:53,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,TTPP,TDW00011634"
"Princes Town, Trinidad, Trinidad And Tobago",2025-05-05,89.5,77.2,82.3,102.5,77.2,88.7,76.6,83.7,0.043,100,8.33,rain,0,0,19.5,13.9,104.5,1012.2,77.1,6.5,137.1,11.8,5,30,2025-05-05T05:46:24,2025-05-05T18:18:02,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"78970011634,3EBY2,TTPP,TDW00011634"
"Princes Town, Trinidad, Trinidad And Tobago",2025-05-06,89.6,77.1,82.6,102.3,77.1,88.4,75.8,80.9,0,0,0,,0,0,21.9,18.3,97.3,1011.8,44.5,7.5,276.2,23.8,9,10,2025-05-06T05:46:06,2025-05-06T18:18:11,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,3EBY2,TTPP,TDW00011634"
