name,datetime,humidity,precip,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,sunrise,sunset,precip_chance,tempmax c,tempmin c,avgtemp c,feelslikemax c,feelslikemin c,avgfeelsliketemp c,dewpoint c
Arima,2005-01-01,92.8,33.629599999999996,10.3,70.6,1013.4,87.1,6.4,195.2875,16.875,23007,64462,1,29.0,24.1,25.4,34.6,24.1,26.2,24.1
Arima,2005-01-02,78.9,6.172199999999999,13.8,40.1,1013.2,64.6,7.8,203.925,17.66875,23031,64495,1,32.0,23.1,26.6,34.2,23.1,27.5,22.1
Arima,2005-01-03,81.5,0.4826,8.1,62.6,1012.6,54.8,8.4,213.54999999999998,18.44375,23053,64527,1,31.8,22.1,25.5,34.0,22.1,26.4,21.8
Arima,2005-01-04,93.2,12.166599999999999,11.4,67.1,1011.6,83.1,6.8,202.9625,17.59375,23075,64560,1,29.2,23.1,24.6,33.7,23.1,25.1,23.3
Arima,2005-01-05,83.2,0.7874,4.7,50.1,1012.7,77.9,16.8,195.775,16.91875,23096,64593,1,31.3,23.7,25.1,33.4,23.7,25.3,21.8
Arima,2005-01-06,83.2,2.1590000000000003,10.3,67.5,1010.8,92.5,9.8,189.95625,16.425,23116,64625,1,30.2,24.6,26.6,34.7,24.6,27.7,23.3
Arima,2005-01-07,90.5,10.795,16.1,73.2,1010.8,95.0,4.4,191.00625,16.45625,23136,64658,1,27.1,23.1,24.9,30.4,23.1,25.7,23.2
Arima,2005-01-08,81.3,8.813799999999999,10.3,78.7,1011.9,90.0,10.0,203.0125,17.55625,23154,64690,1,29.2,24.1,26.4,32.7,24.1,28.0,22.7
Arima,2005-01-09,78.5,0.0,12.8,82.9,1011.6,81.6,9.5,198.69375,17.1625,23172,64722,0,30.1,23.7,27.3,34.2,23.7,29.5,23.1
Arima,2005-01-10,90.7,2.0065999999999997,9.2,80.1,1010.1,68.0,7.2,203.375,17.55,23189,64754,1,29.3,23.9,25.6,34.2,23.9,26.6,23.9
Arima,2005-01-11,90.9,11.1252,10.3,69.6,1011.1,76.4,8.8,214.8,18.5125,23205,64786,1,31.6,23.9,25.4,37.2,23.9,26.1,23.6
Arima,2005-01-12,87.8,0.0,10.3,45.7,1011.4,35.5,10.0,208.7375,18.05,23219,64818,0,31.3,24.1,26.1,37.4,24.1,27.2,23.8
Arima,2005-01-13,86.9,11.7856,13.8,63.5,1012.7,82.6,4.5,213.00625,18.425,23233,64849,1,29.3,24.6,26.9,34.9,24.6,29.6,24.4
Arima,2005-01-14,84.0,9.270999999999999,16.0,59.9,1011.7,88.4,6.3,216.16875,18.7125,23246,64880,1,30.9,25.1,27.1,36.6,25.1,29.2,24.1
Arima,2005-01-15,90.6,20.32,16.1,75.2,1010.7,91.1,5.2,214.09375,18.48125,23258,64910,1,29.1,23.1,25.4,33.8,23.1,26.3,23.7
Arima,2005-01-16,95.7,32.9184,5.9,90.0,1010.2,66.7,8.9,214.88125,18.54375,23269,64941,1,25.2,23.2,24.2,25.2,23.2,24.2,23.4
Arima,2005-01-17,97.4,0.0508,0.1,90.0,1009.6,35.7,8.6,218.70625,18.89375,23279,64971,1,24.8,21.9,22.4,24.8,21.9,22.4,22.1
Arima,2005-01-18,71.2,0.127,13.8,332.9,1010.3,90.0,9.4,220.5875,19.06875,23288,65000,1,31.6,26.8,28.9,36.1,29.2,32.5,23.0
Arima,2005-01-19,84.6,10.1092,11.4,292.0,1010.0,90.0,7.0,215.6375,18.618750000000002,23296,65029,1,28.0,24.1,25.8,32.8,24.1,26.5,22.9
Arima,2005-01-20,78.5,0.0508,12.8,326.3,1010.6,80.5,9.8,228.6,19.73125,23303,65057,1,33.0,22.9,26.9,37.7,22.9,28.4,22.6
Arima,2005-01-21,88.8,15.798799999999998,16.1,48.2,1012.1,91.2,9.6,220.86875,19.06875,23309,65086,1,26.1,24.2,25.2,26.1,24.2,25.2,23.2
Arima,2005-01-22,92.9,7.416799999999999,10.3,63.1,1012.9,89.7,8.2,213.7125,18.43125,23314,65113,1,27.6,23.9,25.1,31.1,23.9,25.8,23.8
Arima,2005-01-23,75.5,1.9811999999999999,18.3,68.6,1013.3,65.7,11.2,221.875,19.10625,23318,65140,1,30.8,24.7,28.0,35.1,24.7,30.3,23.1
Arima,2005-01-24,74.3,0.3048,13.9,80.0,1013.7,64.5,9.2,231.925,19.99375,23321,65167,1,30.6,22.9,27.7,34.6,22.9,29.9,22.6
Arima,2005-01-25,78.6,0.0,11.4,69.1,1013.2,45.0,10.6,234.65,20.25625,23323,65193,0,30.6,21.7,25.1,32.4,21.7,25.6,20.8
Arima,2005-01-26,86.2,0.0,16.1,69.6,1013.3,31.2,12.3,229.18125,19.75,23323,65218,0,31.3,21.1,23.7,34.0,21.1,24.1,20.9
Arima,2005-01-27,70.9,0.0,17.3,61.6,1013.3,48.5,8.8,219.2125,18.9,23323,65243,0,31.3,22.1,27.5,34.6,22.1,29.3,21.4
Arima,2005-01-28,65.5,0.0,11.4,61.5,1011.3,68.7,8.3,222.44375,19.21875,23322,65267,0,32.1,24.7,28.8,35.6,24.7,31.3,21.6
Arima,2005-01-29,74.8,0.0,10.3,37.1,1010.8,62.4,12.1,218.15625,18.7875,23319,65291,0,30.8,22.7,26.2,32.8,22.7,26.9,21.0
Arima,2005-01-30,78.1,0.4826,10.3,2.3,1010.5,63.9,9.8,230.1375,19.8625,23316,65314,1,32.3,22.1,25.5,33.9,22.1,26.1,20.8
Arima,2005-01-31,69.2,0.0,10.3,350.3,1010.7,45.7,11.5,238.00625,20.5125,23311,65337,0,33.0,20.1,26.4,33.5,20.1,26.9,19.3
Arima,2005-02-01,77.1,0.0,11.4,10.2,1010.3,34.8,9.5,237.45,20.48125,23305,65359,0,33.0,19.1,24.5,34.7,19.1,25.1,19.6
Arima,2005-02-02,72.5,0.0,11.4,79.3,1010.1,36.0,11.0,238.60625,20.55625,23299,65380,0,32.1,20.1,25.8,33.0,20.1,26.4,19.6
Arima,2005-02-03,77.8,0.0,6.9,31.2,1011.9,83.4,9.3,234.55625,20.20625,23291,65401,0,30.1,21.3,25.3,32.0,21.3,26.3,20.9
Arima,2005-02-04,77.9,0.0,9.2,107.3,1013.4,75.7,12.8,231.64375,19.9625,23283,65421,0,31.1,20.1,23.9,32.1,20.1,24.2,19.3
Arima,2005-02-05,77.8,0.0,15.0,67.7,1013.5,79.8,9.1,221.50625,19.14375,23273,65440,0,30.6,22.7,26.4,34.2,22.7,27.8,21.9
