name,datetime,humidity,precip,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,sunrise,sunset,precip_chance,tempmax c,tempmin c,avgtemp c,feelslikemax c,feelslikemin c,avgfeelsliketemp c,dewpoint c
Chaguanas,2005-01-01,92.8,34.0106,10.3,70.7,1013.4,87.1,6.4,194.26875,16.75,23032,64500,1,29.1,24.1,25.4,34.7,24.1,26.2,24.1
Chaguanas,2005-01-02,79.0,6.095999999999999,13.9,39.9,1013.2,64.6,7.8,204.725,17.725,23055,64533,1,32.1,23.1,26.6,34.3,23.1,27.5,22.1
Chaguanas,2005-01-03,81.6,0.508,8.1,63.1,1012.6,55.0,8.3,212.7125,18.4,23078,64565,1,31.8,22.1,25.5,34.0,22.1,26.4,21.8
Chaguanas,2005-01-04,93.3,12.115799999999998,11.4,67.5,1011.6,83.0,6.8,203.375,17.63125,23100,64598,1,29.2,23.1,24.6,33.7,23.1,25.1,23.4
Chaguanas,2005-01-05,83.3,0.7874,4.7,50.9,1012.7,77.8,16.8,196.34375,16.9625,23121,64631,1,31.3,23.7,25.1,33.4,23.7,25.3,21.8
Chaguanas,2005-01-06,83.2,2.0065999999999997,10.3,67.7,1010.8,92.5,9.8,191.0875,16.5375,23141,64663,1,30.2,24.6,26.6,34.7,24.6,27.7,23.3
Chaguanas,2005-01-07,89.7,10.8966,12.8,77.7,1010.8,100.0,5.3,190.05,16.4,23160,64696,1,27.1,24.3,25.7,30.4,24.3,27.4,23.8
Chaguanas,2005-01-08,83.2,8.889999999999999,10.3,70.8,1011.9,90.0,9.6,202.51875,17.4625,23179,64728,1,29.2,24.1,26.0,32.7,24.1,27.2,22.7
Chaguanas,2005-01-09,78.4,0.0,12.8,82.9,1011.6,81.5,9.5,197.95625,17.0875,23197,64760,0,30.1,23.7,27.3,34.3,23.7,29.6,23.1
Chaguanas,2005-01-10,90.8,2.0065999999999997,9.2,80.0,1010.1,68.0,7.2,205.875,17.825,23214,64792,1,29.3,23.8,25.6,34.2,23.8,26.6,23.9
Chaguanas,2005-01-11,91.0,10.998199999999999,10.3,68.7,1011.1,76.3,8.8,215.96875,18.63125,23229,64824,1,31.7,23.8,25.4,37.3,23.8,26.1,23.6
Chaguanas,2005-01-12,87.9,0.0,10.3,45.2,1011.4,35.5,10.0,209.2375,18.0875,23244,64855,0,31.3,24.1,26.1,37.4,24.1,27.2,23.8
Chaguanas,2005-01-13,86.9,11.7094,13.9,63.5,1012.7,82.5,4.5,211.90625,18.3375,23258,64886,1,29.3,24.6,26.9,35.0,24.6,29.6,24.4
Chaguanas,2005-01-14,83.9,8.102599999999999,16.1,60.4,1011.7,88.2,6.3,216.7625,18.75,23271,64917,1,31.1,25.1,27.3,36.7,25.1,29.6,24.3
Chaguanas,2005-01-15,92.1,18.516599999999997,16.1,75.8,1010.8,91.3,5.1,213.50625,18.425,23284,64948,1,29.2,23.1,25.2,33.9,23.1,25.9,23.7
Chaguanas,2005-01-16,95.8,32.9946,5.8,90.0,1010.2,66.7,8.9,213.25,18.4375,23295,64978,1,25.2,23.2,24.2,25.2,23.2,24.2,23.4
Chaguanas,2005-01-17,97.4,0.0,0.0,90.0,1009.6,35.7,8.6,216.7375,18.73125,23305,65008,0,24.8,21.8,22.4,24.8,21.8,22.4,22.1
Chaguanas,2005-01-18,71.0,0.0,13.9,332.4,1010.3,90.0,9.5,220.3375,19.025,23314,65037,0,31.7,26.8,28.9,36.2,29.2,32.5,23.0
Chaguanas,2005-01-19,84.6,10.2108,11.4,291.6,1010.0,90.0,7.0,218.14375,18.8625,23322,65066,1,28.1,24.1,25.8,32.8,24.1,26.5,22.9
Chaguanas,2005-01-20,78.5,0.0,12.8,325.9,1010.6,80.6,9.8,228.18125,19.68125,23329,65095,0,33.1,22.8,26.9,37.8,22.8,28.4,22.6
Chaguanas,2005-01-21,89.1,16.002,16.1,55.5,1012.1,91.4,9.2,219.76874999999998,18.98125,23335,65123,1,26.1,24.2,25.1,26.1,24.2,25.1,23.1
Chaguanas,2005-01-22,93.1,7.518399999999999,10.3,63.2,1012.9,90.0,8.2,214.3375,18.49375,23340,65150,1,27.6,23.8,25.1,31.1,23.8,25.4,23.8
Chaguanas,2005-01-23,75.5,2.0065999999999997,18.3,68.4,1013.3,66.0,11.2,221.075,19.05,23344,65177,1,30.8,24.7,28.0,35.2,24.7,30.3,23.1
Chaguanas,2005-01-24,74.3,0.3048,13.9,80.0,1013.7,64.7,9.2,232.95625,20.1125,23347,65204,1,30.6,22.8,27.7,34.6,22.8,29.9,22.6
Chaguanas,2005-01-25,78.6,0.0,11.4,69.3,1013.2,45.0,10.6,232.93125,20.14375,23348,65229,0,30.7,21.7,25.1,32.4,21.7,25.6,20.8
Chaguanas,2005-01-26,86.4,0.0,16.1,70.0,1013.3,31.3,12.3,228.25625,19.68125,23349,65255,0,31.3,21.1,23.7,34.1,21.1,24.0,20.9
Chaguanas,2005-01-27,70.9,0.0,17.2,61.7,1013.3,48.8,8.8,218.59375,18.825,23349,65280,0,31.3,22.1,27.5,34.7,22.1,29.3,21.4
Chaguanas,2005-01-28,65.5,0.0,11.4,61.7,1011.3,68.9,8.3,222.40625,19.1875,23348,65304,0,32.2,24.7,28.9,35.7,24.7,31.3,21.6
Chaguanas,2005-01-29,74.9,0.0,10.3,36.6,1010.8,62.2,12.1,217.64375,18.7625,23345,65328,0,30.8,22.7,26.2,32.9,22.7,26.9,21.0
Chaguanas,2005-01-30,78.2,0.508,10.3,1.5,1010.5,64.0,9.8,228.8625,19.75625,23342,65351,1,32.3,22.1,25.5,34.0,22.1,26.1,20.8
Chaguanas,2005-01-31,69.3,0.0,10.3,350.1,1010.7,45.7,11.5,237.98125,20.50625,23337,65373,0,33.1,20.1,26.4,33.6,20.1,26.9,19.3
Chaguanas,2005-02-01,77.2,0.0,11.4,9.9,1010.3,34.7,9.5,237.2125,20.45625,23332,65395,0,33.1,19.1,24.4,34.7,19.1,25.1,19.6
Chaguanas,2005-02-02,72.5,0.0,11.4,80.1,1010.1,36.0,10.9,237.0625,20.425,23325,65416,0,32.1,20.1,25.8,33.0,20.1,26.4,19.6
Chaguanas,2005-02-03,77.9,0.0,6.9,31.1,1011.9,83.5,9.2,233.1,20.08125,23318,65437,0,30.1,21.3,25.3,32.0,21.3,26.3,20.9
Chaguanas,2005-02-04,77.9,0.0,9.2,109.5,1013.4,75.7,12.8,230.4875,19.83125,23309,65456,0,31.2,20.1,23.9,32.1,20.1,24.2,19.3
Chaguanas,2005-02-05,78.0,0.0,15.0,67.7,1013.5,79.2,9.1,222.24375,19.1875,23300,65476,0,30.7,22.7,26.4,34.2,22.7,27.8,21.9
Chaguanas,2005-02-06,65.9,0.9905999999999999,13.9,74.6,1011.6,47.3,10.4,225.9875,19.46875,23289,65494,1,31.3,25.3,29.9,35.6,25.3,33.3,22.7
Chaguanas,2005-02-10,77.8,0.0,15.7,71.8,1010.3,83.3,8.7,237.66875000000002,20.51875,23238,65563,0,30.7,25.7,27.8,34.6,25.7,30.2,23.3
