name,datetime,humidity,precip,precipcover,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,sunrise,sunset,tempmax c,tempmin c,avgtemp c,feelslikemax c,feelslikemin c,avgfeelsliketemp c,dewpoint c
Couva-Tabaquite-Taiparo,2005-01-01,92.8,34.0106,8.33,10.3,70.7,1013.4,87.1,6.4,193.14375,16.68125,22998,64465,29.1,24.1,25.4,34.7,24.1,26.2,24.1
Couva-Tabaquite-Taiparo,2005-01-02,79.0,6.095999999999999,4.17,13.9,39.9,1013.2,64.6,7.8,203.48125,17.59375,23021,64498,32.1,23.1,26.6,34.3,23.1,27.5,22.1
Couva-Tabaquite-Taiparo,2005-01-03,81.6,0.508,4.17,8.1,63.1,1012.6,55.0,8.3,211.675,18.30625,23044,64530,31.8,22.1,25.5,34.0,22.1,26.4,21.8
Couva-Tabaquite-Taiparo,2005-01-04,93.3,12.115799999999998,12.5,11.4,67.5,1011.6,83.0,6.8,201.44375,17.4625,23066,64563,29.2,23.1,24.6,33.7,23.1,25.1,23.4
Couva-Tabaquite-Taiparo,2005-01-05,83.3,0.7874,4.17,4.7,50.9,1012.7,77.8,16.8,194.3375,16.7875,23087,64596,31.3,23.7,25.1,33.4,23.7,25.3,21.8
Couva-Tabaquite-Taiparo,2005-01-06,83.2,2.0065999999999997,4.17,10.3,67.7,1010.8,92.5,9.8,188.18125,16.29375,23107,64628,30.2,24.6,26.6,34.7,24.6,27.7,23.3
Couva-Tabaquite-Taiparo,2005-01-07,89.7,10.8966,8.33,12.8,77.7,1010.8,100.0,5.3,187.81875,16.225,23127,64661,27.1,24.3,25.7,30.4,24.3,27.4,23.8
Couva-Tabaquite-Taiparo,2005-01-08,83.2,8.889999999999999,4.17,10.3,70.8,1011.9,90.0,9.6,200.34375,17.3375,23145,64693,29.2,24.1,26.0,32.7,24.1,27.2,22.7
Couva-Tabaquite-Taiparo,2005-01-09,78.4,0.0,0.0,12.8,82.9,1011.6,81.5,9.5,196.125,16.94375,23163,64725,30.1,23.7,27.3,34.3,23.7,29.6,23.1
Couva-Tabaquite-Taiparo,2005-01-10,90.8,2.0065999999999997,4.17,9.2,80.0,1010.1,68.0,7.2,202.8125,17.53125,23180,64757,29.3,23.8,25.6,34.2,23.8,26.6,23.9
