name,datetime,humidity,precip,precipcover,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,sunrise,sunset,tempmax c,tempmin c,avgtemp c,feelslikemax c,feelslikemin c,avgfeelsliketemp c,dewpoint c
Crown Point,2005-01-01,88.2,2.3114,8.33,12.8,64.6,1014.1,94.7,5.2,212.1,18.311764705882354,22956,64300,27.8,23.8,25.1,31.4,23.8,25.3,23.0
Crown Point,2005-01-02,70.7,0.0,0.0,11.4,31.5,1010.4,40.7,14.9,245.04117647058823,21.147058823529413,23238,65213,29.1,23.8,25.7,30.9,23.8,26.2,19.8
Crown Point,2005-01-03,70.1,0.3048,4.17,18.3,102.9,1013.7,35.0,9.7,254.06470588235297,21.970588235294116,22689,65599,31.1,26.1,28.1,34.7,26.1,30.3,22.1
Crown Point,2005-01-04,72.5,0.0,0.0,17.2,95.7,1014.4,38.6,6.3,262.15882352941173,22.641176470588235,21603,65663,30.1,27.1,28.4,34.3,29.5,31.7,22.9
Crown Point,2005-01-05,77.9,0.508,4.17,16.1,143.9,1014.7,90.4,10.0,260.9,22.5125,20679,65780,30.1,26.1,27.7,35.2,26.1,30.8,23.5
Crown Point,2005-01-06,77.5,0.0,0.0,20.8,74.6,1013.4,87.3,6.7,246.40625,21.30625,20352,66201,31.1,25.1,28.2,36.7,25.1,31.7,23.8
Crown Point,2005-01-07,74.6,0.0,0.0,13.9,74.6,1014.7,71.3,6.3,190.21875,16.41875,20657,66614,31.1,26.1,28.4,35.9,26.1,31.8,23.4
Crown Point,2005-01-08,74.5,90.3986,4.17,15.0,126.9,1013.3,62.6,10.9,222.625,19.25625,21087,66467,31.2,25.1,28.7,36.9,25.1,32.5,23.7
Crown Point,2005-01-09,75.6,18.313399999999998,8.33,20.8,96.8,1011.7,83.7,7.6,234.45,20.225,21202,65583,32.1,25.1,29.2,39.3,25.1,33.8,24.3
Crown Point,2005-01-10,69.7,0.0,0.0,13.9,109.7,1011.3,55.5,9.7,218.44375,18.85,21130,64416,32.1,26.1,29.2,38.1,26.1,32.7,23.0
Crown Point,2005-01-11,78.9,21.2852,8.33,13.9,91.8,1013.5,59.5,7.4,209.3875,18.10625,21307,63515,31.1,25.1,27.7,36.7,25.1,30.2,23.6
Crown Point,2005-01-12,77.9,0.0,0.0,5.8,36.5,1010.7,58.3,9.7,187.78125,16.29375,22020,63480,30.1,23.8,26.4,34.3,23.8,28.1,22.2
Crown Point,2005-01-13,86.0,19.7866,12.5,13.9,75.7,1010.7,90.0,3.1,218.58823529411765,18.88235294117647,23178,64691,28.3,24.1,26.3,33.1,24.1,28.5,23.7
Crown Point,2005-01-14,87.7,23.3934,12.5,13.9,77.9,1012.4,91.7,5.4,228.3764705882353,19.711764705882352,23190,64723,27.1,24.1,25.3,29.7,24.1,25.6,23.1
Crown Point,2005-01-15,78.6,6.019799999999999,12.5,12.8,73.0,1011.2,87.1,6.3,227.05882352941177,19.58235294117647,23202,64754,29.1,24.1,26.7,32.8,24.1,28.5,22.7
Crown Point,2005-01-16,95.6,25.907999999999998,4.17,9.2,100.0,1011.2,65.0,9.3,227.25882352941176,19.599999999999998,23212,64785,24.1,22.8,23.4,24.1,22.8,23.4,22.7
Crown Point,2005-01-17,95.1,3.6067999999999993,4.17,5.8,90.0,1009.5,38.3,9.3,229.41764705882352,19.83529411764706,23222,64815,24.1,23.1,23.4,24.1,23.1,23.4,22.6
Crown Point,2005-01-18,88.3,10.8966,4.17,11.4,17.7,1011.9,90.0,4.7,231.1235294117647,19.970588235294116,23230,64845,26.6,25.1,25.7,26.6,25.1,25.7,23.6
Crown Point,2005-01-19,85.3,2.9972,8.33,12.8,334.0,1010.2,86.7,6.6,227.11764705882354,19.570588235294117,23238,64874,27.1,25.3,26.4,30.2,25.3,27.4,23.7
Crown Point,2005-01-20,84.7,4.0893999999999995,4.17,11.4,1.5,1011.1,80.0,7.5,238.95294117647057,20.629411764705882,23244,64904,28.1,25.3,26.4,32.1,25.3,27.4,23.7
Crown Point,2005-01-21,85.2,1.2953999999999999,8.33,15.0,49.9,1012.4,88.6,9.9,230.05882352941177,19.83529411764706,23249,64932,26.2,24.2,25.7,26.2,24.2,25.7,23.0
Crown Point,2005-01-22,80.9,0.0,0.0,13.9,73.2,1013.2,64.4,10.5,225.05882352941177,19.45294117647059,23254,64960,28.7,25.1,26.2,32.3,25.1,27.2,22.6
Crown Point,2005-01-23,75.9,0.508,4.17,18.3,92.4,1012.9,30.0,12.8,232.6235294117647,20.041176470588233,23257,64988,29.3,25.3,27.5,33.6,25.3,29.6,22.8
Crown Point,2005-01-24,71.8,0.0,0.0,18.3,97.9,1013.9,51.5,9.5,229.46470588235294,19.852941176470587,23259,65015,30.1,24.7,27.7,34.3,24.7,30.2,22.2
Crown Point,2005-01-25,71.9,0.0,0.0,13.9,69.9,1013.6,39.2,11.5,238.38235294117646,20.599999999999998,23260,65042,28.1,24.1,25.8,29.7,24.1,26.2,20.3
