name,datetime,humidity,precip,precipcover,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,sunrise,sunset,tempmax c,tempmin c,avgtemp c,feelslikemax c,feelslikemin c,avgfeelsliketemp c,dewpoint c
Diego Martin,2005-01-01,92.8,34.0106,8.33,10.3,70.7,1013.4,87.1,6.4,198.90588235294118,17.147058823529413,23083,64518,29.1,24.1,25.4,34.7,24.1,26.2,24.1
Diego Martin,2005-01-02,77.2,0.0,0.0,11.4,9.9,1010.3,34.7,9.5,238.80588235294115,20.641176470588235,23378,65417,33.1,19.1,24.4,34.7,19.1,25.1,19.6
Diego Martin,2005-01-03,75.9,0.0,0.0,15.0,75.8,1013.1,35.3,8.8,256.25882352941176,22.158823529411762,22848,65785,33.1,21.1,26.9,37.2,21.1,28.4,21.6
Diego Martin,2005-01-04,73.5,0.0,0.0,17.2,73.0,1013.4,56.9,6.5,264.72941176470584,22.905882352941177,21784,65826,32.1,25.6,28.9,36.9,25.6,31.9,23.4
Diego Martin,2005-01-05,87.8,4.8768,8.33,17.2,97.7,1014.4,85.4,8.1,250.1,21.56875,20880,65923,30.1,24.8,26.4,36.3,24.8,28.0,24.2
Diego Martin,2005-01-06,83.6,8.102599999999999,8.33,23.0,83.5,1012.9,83.3,5.3,219.35,18.93125,20568,66329,32.6,24.3,27.6,38.8,24.3,30.0,24.3
Diego Martin,2005-01-07,77.9,0.3048,4.17,17.2,76.3,1014.2,60.0,6.4,183.0625,15.7875,20875,66740,33.1,25.1,28.6,39.4,25.1,31.7,24.1
Diego Martin,2005-01-08,81.1,2.9972,4.17,11.4,80.2,1012.9,59.6,8.4,207.20625,17.8875,21295,66604,32.1,23.7,27.9,39.3,23.7,31.4,24.2
Diego Martin,2005-01-09,86.3,23.9014,4.17,12.8,103.5,1011.2,67.9,8.4,218.4625,18.86875,21390,65740,32.1,24.1,27.4,40.8,24.1,30.8,24.8
Diego Martin,2005-01-10,78.0,0.0,0.0,12.8,86.2,1010.7,50.6,8.9,211.875,18.325,21296,64595,33.1,23.1,28.2,39.4,23.1,31.6,23.7
Diego Martin,2005-01-11,85.5,0.508,4.17,15.0,97.1,1012.8,79.1,7.7,194.925,16.85,21452,63715,30.8,24.2,27.0,37.6,24.2,29.2,24.2
Diego Martin,2005-01-12,78.0,0.0,0.0,9.2,87.8,1010.4,64.1,9.4,180.6125,15.65625,22150,63695,34.1,20.8,26.2,37.4,20.8,27.5,21.6
Diego Martin,2005-01-13,86.9,11.7094,12.5,13.9,63.5,1012.7,82.5,4.5,209.65882352941176,18.11764705882353,23308,64905,29.3,24.6,26.9,35.0,24.6,29.6,24.4
Diego Martin,2005-01-14,83.9,8.102599999999999,4.17,16.1,60.4,1011.7,88.2,6.3,216.50588235294117,18.723529411764705,23321,64936,31.1,25.1,27.3,36.7,25.1,29.6,24.3
Diego Martin,2005-01-15,92.1,18.516599999999997,12.5,16.1,75.8,1010.8,91.3,5.1,213.58823529411765,18.435294117647057,23333,64967,29.2,23.1,25.2,33.9,23.1,25.9,23.7
Diego Martin,2005-01-16,95.8,32.9946,4.17,5.8,90.0,1010.2,66.7,8.9,216.31764705882352,18.647058823529413,23344,64997,25.2,23.2,24.2,25.2,23.2,24.2,23.4
Diego Martin,2005-01-17,97.4,0.0,0.0,0.0,90.0,1009.6,35.7,8.6,220.48235294117646,19.029411764705884,23354,65027,24.8,21.8,22.4,24.8,21.8,22.4,22.1
Diego Martin,2005-01-18,71.0,0.0,0.0,13.9,332.4,1010.3,90.0,9.5,223.14117647058825,19.264705882352942,23363,65057,31.7,26.8,28.9,36.2,29.2,32.5,23.0
Diego Martin,2005-01-19,84.6,10.2108,8.33,11.4,291.6,1010.0,90.0,7.0,220.24117647058824,19.00588235294118,23371,65086,28.1,24.1,25.8,32.8,24.1,26.5,22.9
