name,datetime,humidity,precip,precipcover,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,sunrise,sunset,tempmax c,tempmin c,avgtemp c,feelslikemax c,feelslikemin c,avgfeelsliketemp c,dewpoint c
Piarco,2005-01-01,92.8,34.0106,8.33,10.3,70.7,1013.4,87.1,6.4,195.3235294117647,16.870588235294118,23014,64476,29.1,24.1,25.4,34.7,24.1,26.2,24.1
Piarco,2005-01-02,77.2,0.0,0.0,11.4,9.9,1010.3,34.7,9.5,233.9235294117647,20.176470588235293,23313,65372,33.1,19.1,24.4,34.7,19.1,25.1,19.6
Piarco,2005-01-03,75.9,0.0,0.0,15.0,75.8,1013.1,35.3,8.8,251.4294117647059,21.723529411764705,22789,65734,33.1,21.1,26.9,37.2,21.1,28.4,21.6
Piarco,2005-01-04,73.5,0.0,0.0,17.2,73.0,1013.4,56.9,6.5,262.2176470588235,22.688235294117646,21732,65768,32.1,25.6,28.9,36.9,25.6,31.9,23.4
Piarco,2005-01-05,87.8,4.8768,8.33,17.2,97.7,1014.4,85.4,8.1,244.85625000000002,21.13125,20834,65859,30.1,24.8,26.4,36.3,24.8,28.0,24.2
Piarco,2005-01-06,83.6,8.102599999999999,8.33,23.0,83.5,1012.9,83.3,5.3,214.84375,18.53125,20526,66261,32.6,24.3,27.6,38.8,24.3,30.0,24.3
Piarco,2005-01-07,77.9,0.3048,4.17,17.2,76.3,1014.2,60.0,6.4,183.2875,15.8,20835,66671,33.1,25.1,28.6,39.4,25.1,31.7,24.1
Piarco,2005-01-08,81.1,2.9972,4.17,11.4,80.2,1012.9,59.6,8.4,203.38125,17.5375,21250,66539,32.1,23.7,27.9,39.3,23.7,31.4,24.2
Piarco,2005-01-09,86.3,23.9014,4.17,12.8,103.5,1011.2,67.9,8.4,216.10625,18.7125,21340,65681,32.1,24.1,27.4,40.8,24.1,30.8,24.8
Piarco,2005-01-10,78.0,0.0,0.0,12.8,86.2,1010.7,50.6,8.9,205.25625,17.75625,21239,64542,33.1,23.1,28.2,39.4,23.1,31.6,23.7
Piarco,2005-01-11,85.5,0.508,4.17,15.0,97.1,1012.8,79.1,7.7,192.45625,16.6,21388,63669,30.8,24.2,27.0,37.6,24.2,29.2,24.2
Piarco,2005-01-12,78.0,0.0,0.0,9.2,87.8,1010.4,64.1,9.4,177.35,15.3625,22082,63653,34.1,20.8,26.2,37.4,20.8,27.5,21.6
Piarco,2005-01-13,86.9,11.7094,12.5,13.9,63.5,1012.7,82.5,4.5,204.71764705882356,17.74705882352941,23240,64863,29.3,24.6,26.9,35.0,24.6,29.6,24.4
Piarco,2005-01-14,83.9,8.102599999999999,4.17,16.1,60.4,1011.7,88.2,6.3,213.52941176470588,18.476470588235294,23253,64894,31.1,25.1,27.3,36.7,25.1,29.6,24.3
Piarco,2005-01-15,92.1,18.516599999999997,12.5,16.1,75.8,1010.8,91.3,5.1,208.72352941176473,18.011764705882353,23265,64925,29.2,23.1,25.2,33.9,23.1,25.9,23.7
Piarco,2005-01-16,95.8,32.9946,4.17,5.8,90.0,1010.2,66.7,8.9,211.18823529411765,18.235294117647058,23277,64955,25.2,23.2,24.2,25.2,23.2,24.2,23.4
Piarco,2005-01-17,97.4,0.0,0.0,0.0,90.0,1009.6,35.7,8.6,216.40588235294118,18.71764705882353,23287,64985,24.8,21.8,22.4,24.8,21.8,22.4,22.1
Piarco,2005-01-18,71.0,0.0,0.0,13.9,332.4,1010.3,90.0,9.5,220.71764705882353,19.070588235294117,23296,65014,31.7,26.8,28.9,36.2,29.2,32.5,23.0
Piarco,2005-01-19,84.6,10.2108,8.33,11.4,291.6,1010.0,90.0,7.0,217.34117647058824,18.788235294117644,23304,65043,28.1,24.1,25.8,32.8,24.1,26.5,22.9
Piarco,2005-01-20,78.5,0.0,0.0,12.8,325.9,1010.6,80.6,9.8,227.8235294117647,19.658823529411762,23311,65071,33.1,22.8,26.9,37.8,22.8,28.4,22.6
Piarco,2005-01-21,89.1,16.002,4.17,16.1,55.5,1012.1,91.4,9.2,217.89999999999998,18.81764705882353,23317,65099,26.1,24.2,25.1,26.1,24.2,25.1,23.1
Piarco,2005-01-22,93.1,7.518399999999999,16.67,10.3,63.2,1012.9,90.0,8.2,212.7941176470588,18.38823529411765,23322,65127,27.6,23.8,25.1,31.1,23.8,25.4,23.8
Piarco,2005-01-23,75.5,2.0065999999999997,4.17,18.3,68.4,1013.3,66.0,11.2,218.04705882352943,18.78235294117647,23325,65154,30.8,24.7,28.0,35.2,24.7,30.3,23.1
Piarco,2005-01-24,74.3,0.3048,4.17,13.9,80.0,1013.7,64.7,9.2,231.25294117647059,19.929411764705883,23328,65181,30.6,22.8,27.7,34.6,22.8,29.9,22.6
Piarco,2005-01-25,78.6,0.0,0.0,11.4,69.3,1013.2,45.0,10.6,232.22352941176473,20.076470588235296,23330,65206,30.7,21.7,25.1,32.4,21.7,25.6,20.8
Piarco,2005-01-26,86.4,0.0,0.0,16.1,70.0,1013.3,31.3,12.3,228.05882352941177,19.676470588235293,23331,65232,31.3,21.1,23.7,34.1,21.1,24.0,20.9
Piarco,2005-01-27,70.9,0.0,0.0,17.2,61.7,1013.3,48.8,8.8,217.6058823529412,18.72941176470588,23331,65257,31.3,22.1,27.5,34.7,22.1,29.3,21.4
Piarco,2005-01-28,65.5,0.0,0.0,11.4,61.7,1011.3,68.9,8.3,222.5764705882353,19.223529411764705,23329,65281,32.2,24.7,28.9,35.7,24.7,31.3,21.6
Piarco,2005-01-29,74.9,0.0,0.0,10.3,36.6,1010.8,62.2,12.1,215.62941176470588,18.564705882352943,23327,65305,30.8,22.7,26.2,32.9,22.7,26.9,21.0
Piarco,2005-01-30,78.2,0.508,4.17,10.3,1.5,1010.5,64.0,9.8,224.7058823529412,19.429411764705883,23323,65328,32.3,22.1,25.5,34.0,22.1,26.1,20.8
Piarco,2005-01-31,69.3,0.0,0.0,10.3,350.1,1010.7,45.7,11.5,234.04705882352943,20.170588235294115,23319,65350,33.1,20.1,26.4,33.6,20.1,26.9,19.3
Piarco,2005-02-01,79.0,6.095999999999999,4.17,13.9,39.9,1013.2,64.6,7.8,206.02941176470588,17.811764705882354,23037,64509,32.1,23.1,26.6,34.3,23.1,27.5,22.1
Piarco,2005-02-02,72.5,0.0,0.0,11.4,80.1,1010.1,36.0,10.9,236.50588235294117,20.394117647058824,23307,65393,32.1,20.1,25.8,33.0,20.1,26.4,19.6
Piarco,2005-02-03,62.9,0.0,0.0,13.9,76.5,1012.9,40.7,8.7,247.84117647058824,21.435294117647057,22759,65739,33.2,24.1,29.5,35.6,24.1,31.4,21.2
Piarco,2005-02-04,76.3,0.0,0.0,13.9,72.0,1012.7,46.7,6.6,261.9235294117647,22.599999999999998,21696,65768,33.1,24.1,28.3,38.2,24.1,30.9,23.4
Piarco,2005-02-05,80.9,0.0,0.0,9.2,88.2,1013.4,81.3,8.2,232.15625,20.06875,20813,65867,33.1,23.7,27.6,37.2,23.7,29.9,23.6
Piarco,2005-02-06,91.0,27.101799999999997,12.5,16.1,84.4,1012.3,83.5,5.8,217.5875,18.80625,20529,66277,29.3,24.1,26.0,35.7,24.1,27.3,24.4
Piarco,2005-02-07,76.7,0.0,0.0,16.1,72.5,1014.0,51.7,7.0,225.61875,19.41875,20850,66678,33.1,24.1,28.3,38.2,24.1,30.9,23.4
Piarco,2005-02-08,86.7,12.496799999999999,8.33,12.8,70.8,1013.6,65.0,7.2,195.96875,16.9125,21259,66521,31.1,24.1,26.7,36.7,24.1,28.3,24.1
Piarco,2005-02-09,83.5,2.9972,4.17,12.8,106.6,1011.4,42.5,8.2,216.4125,18.74375,21337,65645,32.1,25.1,28.1,39.2,25.1,31.5,24.9
Piarco,2005-02-10,77.1,36.093399999999995,4.17,9.2,93.3,1010.3,82.0,8.9,203.10625,17.55625,21237,64505,34.7,23.1,28.4,39.5,23.1,30.8,23.5
Piarco,2005-02-11,82.2,0.9905999999999999,4.17,15.0,91.2,1014.0,79.5,8.0,176.90625,15.25625,21402,63653,32.1,25.1,27.7,38.1,25.1,30.5,24.3
Piarco,2005-02-12,87.4,5.1054,4.17,9.2,83.5,1011.3,82.1,7.8,187.5125,16.26875,22112,63669,29.1,22.7,25.4,33.7,22.7,26.7,23.1
Piarco,2005-02-13,70.6,0.0,0.0,11.4,94.5,1012.9,77.5,9.5,244.3235294117647,21.129411764705882,23170,65585,32.1,24.2,28.7,35.9,24.2,30.5,22.4
Piarco,2005-02-14,77.5,0.7874,4.17,13.9,75.1,1013.8,74.0,11.5,228.71764705882353,19.78235294117647,23152,65598,30.8,23.6,26.7,34.2,23.6,27.9,22.2
Piarco,2005-02-15,73.5,0.6096,8.33,12.8,82.1,1011.2,34.1,8.4,244.51764705882354,21.141176470588235,23133,65611,32.2,23.1,27.6,36.0,23.1,29.1,21.9
Piarco,2005-02-16,74.5,0.508,4.17,8.1,64.9,1009.9,49.4,8.9,246.91764705882355,21.33529411764706,23113,65624,33.1,21.1,26.8,36.7,21.1,28.3,21.3
Piarco,2005-02-17,72.6,0.0,0.0,12.8,323.4,1011.0,59.3,7.8,240.90588235294118,20.852941176470587,23093,65635,33.1,22.1,27.7,37.2,22.1,29.6,21.9
Piarco,2005-02-18,73.6,0.0,0.0,12.8,341.2,1012.2,82.4,7.8,242.6,20.958823529411767,23071,65647,34.1,22.1,26.9,36.6,22.1,28.0,21.2
Piarco,2005-02-19,70.6,0.0,0.0,15.0,18.9,1013.2,72.2,8.8,243.38235294117646,21.058823529411764,23049,65657,33.8,22.3,27.3,37.0,22.3,28.4,20.9
Piarco,2005-02-20,74.1,0.0,0.0,12.8,15.7,1013.7,52.1,9.5,251.24705882352941,21.75294117647059,23026,65667,34.1,21.1,26.8,35.7,21.1,27.6,20.8
Piarco,2005-02-21,65.6,0.3048,4.17,20.8,9.1,1013.3,61.5,7.7,255.8235294117647,22.13529411764706,23003,65677,33.1,22.1,27.7,34.7,22.1,28.4,19.9
Piarco,2005-02-22,77.5,0.0,0.0,16.1,54.6,1012.8,73.5,6.2,235.59411764705882,20.376470588235293,22978,65686,31.1,21.8,25.8,34.3,21.8,26.8,21.3
Piarco,2005-02-23,79.1,0.9905999999999999,4.17,11.4,46.3,1013.2,71.9,6.9,242.38823529411766,20.988235294117647,22953,65694,32.1,23.1,25.8,35.3,23.1,26.5,21.7
Piarco,2005-02-24,78.6,0.9905999999999999,4.17,16.1,72.2,1013.6,52.5,7.4,237.0,20.50588235294118,22927,65702,32.1,22.1,26.3,35.0,22.1,27.5,21.9
Piarco,2005-02-25,79.0,0.0,0.0,16.1,76.7,1013.2,64.7,7.2,246.1823529411765,21.288235294117644,22901,65709,33.1,24.1,27.5,37.2,24.1,29.3,23.1
Piarco,2005-02-26,73.2,0.3048,4.17,16.1,65.1,1013.1,65.5,7.9,255.44117647058823,22.099999999999998,22874,65716,33.1,23.8,27.7,37.2,23.8,29.3,22.1
Piarco,2005-02-27,77.1,0.0,0.0,13.9,68.9,1012.5,72.0,7.2,244.65882352941176,21.141176470588235,22846,65722,33.1,22.1,27.2,36.2,22.1,28.6,22.2
Piarco,2005-02-28,85.1,7.086600000000001,8.33,16.1,70.1,1012.9,48.0,8.1,255.23529411764707,22.076470588235296,22818,65728,32.1,23.8,26.0,34.5,23.8,26.8,23.0
Piarco,2005-03-01,81.6,0.508,4.17,8.1,63.1,1012.6,55.0,8.3,215.7058823529412,18.658823529411762,23060,64542,31.8,22.1,25.5,34.0,22.1,26.4,21.8
Piarco,2005-03-02,77.9,0.0,0.0,6.9,31.1,1011.9,83.5,9.2,232.9235294117647,20.141176470588235,23299,65414,30.1,21.3,25.3,32.0,21.3,26.3,20.9
Piarco,2005-03-03,68.6,0.508,4.17,12.8,72.2,1013.3,48.1,9.0,259.27058823529416,22.435294117647057,22729,65743,33.1,23.3,28.0,36.2,23.3,29.6,21.3
Piarco,2005-03-04,70.4,0.0,0.0,17.2,63.4,1013.6,53.1,5.9,268.7117647058824,23.2,21661,65768,32.1,26.3,29.6,36.9,26.3,33.6,23.4
Piarco,2005-03-05,76.6,0.0,0.0,17.2,81.3,1013.0,43.9,8.2,233.78125,20.175,20792,65875,34.1,24.1,28.4,39.5,24.1,31.2,23.4
Piarco,2005-03-06,94.3,144.0942,12.5,8.1,92.2,1011.5,90.8,6.0,229.83125,19.85,20532,66293,29.1,24.1,25.6,34.7,24.1,26.3,24.6
Piarco,2005-03-07,86.6,2.9972,4.17,12.8,352.3,1013.0,72.9,5.9,226.51250000000002,19.5375,20865,66685,33.1,23.6,26.8,39.4,23.6,28.5,24.2
Piarco,2005-03-08,79.5,4.0893999999999995,4.17,15.0,63.7,1013.3,50.9,6.9,190.9875,16.4375,21268,66503,32.1,25.1,28.1,38.5,25.1,30.9,23.9
Piarco,2005-03-09,78.6,0.508,4.17,11.4,106.2,1012.0,43.6,7.1,199.01875,17.1875,21335,65608,33.1,24.1,28.4,39.4,24.1,31.2,23.9
Piarco,2005-03-10,82.5,2.0065999999999997,4.17,10.3,187.2,1009.7,89.6,8.3,204.73125,17.6875,21236,64469,34.1,23.1,27.6,40.7,23.1,30.4,24.0
Piarco,2005-03-11,86.0,0.0,0.0,17.2,80.1,1013.5,60.0,8.2,199.91875,17.2875,21417,63638,32.1,24.1,26.8,38.1,24.1,28.7,24.1
Piarco,2005-03-12,88.1,2.3114,8.33,17.2,70.4,1011.4,73.8,7.5,175.0,15.04375,22143,63686,30.6,22.8,25.3,35.1,22.8,26.1,22.9
Piarco,2005-03-13,70.0,0.0,0.0,16.1,97.6,1013.2,51.4,8.9,257.0470588235294,22.194117647058825,22405,65769,33.2,21.1,27.9,37.2,21.1,29.7,21.4
Piarco,2005-03-14,62.4,0.0,0.0,12.8,79.3,1012.1,33.0,8.6,257.13529411764705,22.16470588235294,22371,65770,33.1,23.1,28.5,34.7,23.1,29.4,19.9
Piarco,2005-03-15,68.4,0.0,0.0,11.4,69.3,1011.7,48.9,9.4,246.85882352941178,21.31764705882353,22336,65771,34.1,21.2,26.7,36.6,21.2,27.7,19.8
Piarco,2005-03-16,66.9,0.0,0.0,13.9,64.6,1012.7,52.5,10.5,253.16470588235296,21.829411764705885,22301,65772,33.8,21.1,27.0,35.7,21.1,27.8,19.7
Piarco,2005-03-17,57.2,0.0,0.0,15.0,73.2,1013.3,61.4,7.5,278.1529411764706,24.01764705882353,22266,65772,34.1,21.8,29.4,34.7,21.8,30.6,19.4
Piarco,2005-03-18,72.3,0.0,0.0,11.4,69.4,1013.2,44.4,9.7,273.1823529411765,23.594117647058823,22231,65772,32.8,24.3,26.6,35.1,24.3,27.0,20.9
Piarco,2005-03-19,72.5,0.0,0.0,13.9,78.6,1013.3,67.8,7.5,267.6470588235294,23.08235294117647,22196,65773,33.2,23.1,28.1,37.2,23.1,30.1,22.2
Piarco,2005-03-20,86.5,0.0,0.0,16.1,75.1,1013.5,32.3,7.1,267.0352941176471,23.08823529411765,22160,65772,32.8,24.1,25.9,35.4,24.1,26.5,23.2
Piarco,2005-03-21,68.8,0.9905999999999999,4.17,17.2,74.0,1013.5,40.0,6.6,261.47058823529414,22.570588235294117,22124,65772,33.2,24.1,28.7,35.9,24.1,30.4,21.9
Piarco,2005-03-22,70.4,0.7874,4.17,20.8,66.7,1015.2,50.0,7.0,265.98823529411766,23.023529411764706,22089,65772,33.1,24.7,28.9,36.2,24.7,31.7,22.7
Piarco,2005-03-23,67.1,0.0,0.0,18.3,74.8,1015.8,35.6,7.5,261.0352941176471,22.558823529411764,22053,65772,33.6,24.3,28.9,35.9,24.3,30.5,21.6
Piarco,2005-03-24,68.0,0.0,0.0,15.0,75.9,1015.1,41.4,7.9,272.68823529411765,23.541176470588233,22017,65771,33.1,24.1,28.5,36.5,24.1,30.2,21.5
Piarco,2005-03-25,92.6,9.0932,16.67,12.8,72.0,1013.7,75.3,6.1,265.41764705882355,22.941176470588236,21981,65771,27.1,24.1,24.9,30.4,24.1,25.1,23.6
Piarco,2005-03-26,89.4,10.1854,8.33,18.3,62.3,1013.0,67.5,5.8,263.49411764705883,22.758823529411764,21945,65770,30.1,23.1,25.2,34.3,23.1,26.1,23.3
Piarco,2005-03-27,76.8,3.302,4.17,15.0,76.1,1013.1,52.5,9.2,269.7,23.28235294117647,21910,65770,31.3,25.1,27.3,34.4,25.1,28.8,22.7
