name,datetime,humidity,precip,precipcover,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,sunrise,sunset,tempmax c,tempmin c,avgtemp c,feelslikemax c,feelslikemin c,avgfeelsliketemp c,dewpoint c
Point Fortin,2005-01-01,92.8,34.0106,8.33,10.3,70.7,1013.4,87.1,6.4,195.8470588235294,16.929411764705883,23056,64605,29.1,24.1,25.4,34.7,24.1,26.2,24.1
Point Fortin,2005-01-02,77.2,0.0,0.0,11.4,9.9,1010.3,34.7,9.5,236.0176470588235,20.352941176470587,23367,65488,33.1,19.1,24.4,34.7,19.1,25.1,19.6
Point Fortin,2005-01-03,75.9,0.0,0.0,15.0,75.8,1013.1,35.3,8.8,252.8,21.84705882352941,22861,65832,33.1,21.1,26.9,37.2,21.1,28.4,21.6
Point Fortin,2005-01-04,73.5,0.0,0.0,17.2,73.0,1013.4,56.9,6.5,259.72941176470584,22.447058823529414,21826,65844,32.1,25.6,28.9,36.9,25.6,31.9,23.4
Point Fortin,2005-01-05,87.8,4.8768,8.33,17.2,97.7,1014.4,85.4,8.1,245.13125,21.23125,20948,65916,30.1,24.8,26.4,36.3,24.8,28.0,24.2
Point Fortin,2005-01-06,83.6,8.102599999999999,8.33,23.0,83.5,1012.9,83.3,5.3,213.9625,18.4375,20654,66303,32.6,24.3,27.6,38.8,24.3,30.0,24.3
Point Fortin,2005-01-07,77.9,0.3048,4.17,17.2,76.3,1014.2,60.0,6.4,184.50625,15.91875,20964,66712,33.1,25.1,28.6,39.4,25.1,31.7,24.1
Point Fortin,2005-01-08,81.1,2.9972,4.17,11.4,80.2,1012.9,59.6,8.4,214.0625,18.4625,21370,66590,32.1,23.7,27.9,39.3,23.7,31.4,24.2
Point Fortin,2005-01-09,86.3,23.9014,4.17,12.8,103.5,1011.2,67.9,8.4,229.475,19.8,21440,65751,32.1,24.1,27.4,40.8,24.1,30.8,24.8
Point Fortin,2005-01-10,78.0,0.0,0.0,12.8,86.2,1010.7,50.6,8.9,213.38125,18.425,21319,64633,33.1,23.1,28.2,39.4,23.1,31.6,23.7
Point Fortin,2005-01-11,85.5,0.508,4.17,15.0,97.1,1012.8,79.1,7.7,197.125,17.05,21447,63781,30.8,24.2,27.0,37.6,24.2,29.2,24.2
Point Fortin,2005-01-12,78.0,0.0,0.0,9.2,87.8,1010.4,64.1,9.4,183.68125,15.8875,22126,63780,34.1,20.8,26.2,37.4,20.8,27.5,21.6
