name,datetime,humidity,precip,precipcover,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,sunrise,sunset,tempmax c,tempmin c,avgtemp c,feelslikemax c,feelslikemin c,avgfeelsliketemp c,dewpoint c
Port of Spain,2005-01-01,92.8,34.0106,8.33,10.3,70.7,1013.4,87.1,6.4,192.88823529411764,16.629411764705882,23066,64514,29.1,24.1,25.4,34.7,24.1,26.2,24.1
Port of Spain,2005-01-02,79.0,6.095999999999999,4.17,13.9,39.9,1013.2,64.6,7.8,222.82941176470587,19.294117647058822,23089,64546,32.1,23.1,26.6,34.3,23.1,27.5,22.1
Port of Spain,2005-01-03,81.6,0.508,4.17,8.1,63.1,1012.6,55.0,8.3,235.6235294117647,20.38235294117647,23111,64579,31.8,22.1,25.5,34.0,22.1,26.4,21.8
Port of Spain,2005-01-04,93.3,12.115799999999998,12.5,11.4,67.5,1011.6,83.0,6.8,232.48235294117646,20.094117647058823,23133,64612,29.2,23.1,24.6,33.7,23.1,25.1,23.4
Port of Spain,2005-01-05,83.3,0.7874,4.17,4.7,50.9,1012.7,77.8,16.8,220.19375,19.0125,23154,64644,31.3,23.7,25.1,33.4,23.7,25.3,21.8
Port of Spain,2005-01-06,83.2,2.0065999999999997,4.17,10.3,67.7,1010.8,92.5,9.8,200.88125,17.33125,23175,64677,30.2,24.6,26.6,34.7,24.6,27.7,23.3
Port of Spain,2005-01-07,89.7,10.8966,8.33,12.8,77.7,1010.8,100.0,5.3,178.68125,15.4125,23194,64709,27.1,24.3,25.7,30.4,24.3,27.4,23.8
Port of Spain,2005-01-08,83.2,8.889999999999999,4.17,10.3,70.8,1011.9,90.0,9.6,215.0625,18.5625,23212,64742,29.2,24.1,26.0,32.7,24.1,27.2,22.7
Port of Spain,2005-01-09,78.4,0.0,0.0,12.8,82.9,1011.6,81.5,9.5,209.1875,18.0125,23230,64774,30.1,23.7,27.3,34.3,23.7,29.6,23.1
Port of Spain,2005-01-10,90.8,2.0065999999999997,4.17,9.2,80.0,1010.1,68.0,7.2,220.55,19.0375,23247,64806,29.3,23.8,25.6,34.2,23.8,26.6,23.9
Port of Spain,2005-01-11,91.0,10.998199999999999,4.17,10.3,68.7,1011.1,76.3,8.8,214.725,18.525,23263,64838,31.7,23.8,25.4,37.3,23.8,26.1,23.6
Port of Spain,2005-01-12,87.9,0.0,0.0,10.3,45.2,1011.4,35.5,10.0,210.04375,18.1875,23277,64869,31.3,24.1,26.1,37.4,24.1,27.2,23.8
Port of Spain,2005-01-13,86.9,11.7094,12.5,13.9,63.5,1012.7,82.5,4.5,209.0,18.064705882352943,23291,64901,29.3,24.6,26.9,35.0,24.6,29.6,24.4
Port of Spain,2005-01-14,83.9,8.102599999999999,4.17,16.1,60.4,1011.7,88.2,6.3,211.9,18.329411764705885,23304,64932,31.1,25.1,27.3,36.7,25.1,29.6,24.3
Port of Spain,2005-01-15,92.1,18.516599999999997,12.5,16.1,75.8,1010.8,91.3,5.1,208.56470588235294,18.0,23316,64962,29.2,23.1,25.2,33.9,23.1,25.9,23.7
Port of Spain,2005-01-16,95.8,32.9946,4.17,5.8,90.0,1010.2,66.7,8.9,214.90588235294118,18.51764705882353,23327,64992,25.2,23.2,24.2,25.2,23.2,24.2,23.4
Port of Spain,2005-01-17,97.4,0.0,0.0,0.0,90.0,1009.6,35.7,8.6,219.4470588235294,18.935294117647057,23337,65022,24.8,21.8,22.4,24.8,21.8,22.4,22.1
Port of Spain,2005-01-18,71.0,0.0,0.0,13.9,332.4,1010.3,90.0,9.5,222.24705882352941,19.17058823529412,23346,65052,31.7,26.8,28.9,36.2,29.2,32.5,23.0
Port of Spain,2005-01-19,84.6,10.2108,8.33,11.4,291.6,1010.0,90.0,7.0,217.6764705882353,18.788235294117648,23354,65081,28.1,24.1,25.8,32.8,24.1,26.5,22.9
Port of Spain,2005-01-20,78.5,0.0,0.0,12.8,325.9,1010.6,80.6,9.8,229.41176470588235,19.78235294117647,23361,65109,33.1,22.8,26.9,37.8,22.8,28.4,22.6
Port of Spain,2005-01-21,89.1,16.002,4.17,16.1,55.5,1012.1,91.4,9.2,219.80588235294115,18.970588235294116,23367,65138,26.1,24.2,25.1,26.1,24.2,25.1,23.1
Port of Spain,2005-01-22,93.1,7.518399999999999,16.67,10.3,63.2,1012.9,90.0,8.2,212.48235294117646,18.352941176470587,23372,65165,27.6,23.8,25.1,31.1,23.8,25.4,23.8
Port of Spain,2005-01-23,75.5,2.0065999999999997,4.17,18.3,68.4,1013.3,66.0,11.2,225.94117647058823,19.5,23376,65192,30.8,24.7,28.0,35.2,24.7,30.3,23.1
Port of Spain,2005-01-24,74.3,0.3048,4.17,13.9,80.0,1013.7,64.7,9.2,232.91764705882352,20.064705882352943,23378,65219,30.6,22.8,27.7,34.6,22.8,29.9,22.6
Port of Spain,2005-01-25,78.6,0.0,0.0,11.4,69.3,1013.2,45.0,10.6,233.09411764705882,20.129411764705882,23380,65245,30.7,21.7,25.1,32.4,21.7,25.6,20.8
Port of Spain,2005-01-26,86.4,0.0,0.0,16.1,70.0,1013.3,31.3,12.3,231.14705882352942,19.95294117647059,23381,65270,31.3,21.1,23.7,34.1,21.1,24.0,20.9
Port of Spain,2005-01-27,70.9,0.0,0.0,17.2,61.7,1013.3,48.8,8.8,223.29999999999998,19.241176470588236,23380,65295,31.3,22.1,27.5,34.7,22.1,29.3,21.4
Port of Spain,2005-01-28,65.5,0.0,0.0,11.4,61.7,1011.3,68.9,8.3,224.85294117647058,19.394117647058824,23379,65320,32.2,24.7,28.9,35.7,24.7,31.3,21.6
Port of Spain,2005-01-29,74.9,0.0,0.0,10.3,36.6,1010.8,62.2,12.1,220.6235294117647,19.00588235294118,23376,65344,30.8,22.7,26.2,32.9,22.7,26.9,21.0
Port of Spain,2005-01-30,78.2,0.508,4.17,10.3,1.5,1010.5,64.0,9.8,231.35882352941175,20.011764705882353,23373,65367,32.3,22.1,25.5,34.0,22.1,26.1,20.8
Port of Spain,2005-01-31,69.3,0.0,0.0,10.3,350.1,1010.7,45.7,11.5,241.24705882352941,20.78235294117647,23368,65389,33.1,20.1,26.4,33.6,20.1,26.9,19.3
Port of Spain,2005-02-01,77.2,0.0,0.0,11.4,9.9,1010.3,34.7,9.5,223.15882352941176,19.294117647058822,23363,65411,33.1,19.1,24.4,34.7,19.1,25.1,19.6
Port of Spain,2005-02-02,72.5,0.0,0.0,11.4,80.1,1010.1,36.0,10.9,241.05294117647057,20.77058823529412,23356,65432,32.1,20.1,25.8,33.0,20.1,26.4,19.6
Port of Spain,2005-02-03,77.9,0.0,0.0,6.9,31.1,1011.9,83.5,9.2,249.38235294117646,21.523529411764706,23348,65453,30.1,21.3,25.3,32.0,21.3,26.3,20.9
Port of Spain,2005-02-04,77.9,0.0,0.0,9.2,109.5,1013.4,75.7,12.8,244.31176470588235,21.070588235294117,23340,65473,31.2,20.1,23.9,32.1,20.1,24.2,19.3
Port of Spain,2005-02-05,78.0,0.0,0.0,15.0,67.7,1013.5,79.2,9.1,235.6625,20.3,23330,65493,30.7,22.7,26.4,34.2,22.7,27.8,21.9
Port of Spain,2005-02-06,65.9,0.9905999999999999,4.17,13.9,74.6,1011.6,47.3,10.4,224.15,19.3375,23319,65511,31.3,25.3,29.9,35.6,25.3,33.3,22.7
