name,datetime,humidity,precip,precipcover,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,sunrise,sunset,tempmax c,tempmin c,avgtemp c,feelslikemax c,feelslikemin c,avgfeelsliketemp c,dewpoint c
Princes Town,2005-01-01,92.8,34.0106,8.33,10.3,70.7,1013.4,87.1,6.4,190.56470588235294,16.458823529411767,22986,64516,29.1,24.1,25.4,34.7,24.1,26.2,24.1
Princes Town,2005-01-02,77.2,0.0,0.0,11.4,9.9,1010.3,34.7,9.5,229.98235294117646,19.86470588235294,23295,65402,33.1,19.1,24.4,34.7,19.1,25.1,19.6
Princes Town,2005-01-03,75.9,0.0,0.0,15.0,75.8,1013.1,35.3,8.8,246.5,21.305882352941175,22784,65750,33.1,21.1,26.9,37.2,21.1,28.4,21.6
Princes Town,2005-01-04,73.5,0.0,0.0,17.2,73.0,1013.4,56.9,6.5,255.05294117647057,22.08235294117647,21744,65767,32.1,25.6,28.9,36.9,25.6,31.9,23.4
Princes Town,2005-01-05,87.8,4.8768,8.33,17.2,97.7,1014.4,85.4,8.1,237.70625,20.525,20862,65843,30.1,24.8,26.4,36.3,24.8,28.0,24.2
Princes Town,2005-01-06,83.6,8.102599999999999,8.33,23.0,83.5,1012.9,83.3,5.3,208.1875,17.95625,20565,66233,32.6,24.3,27.6,38.8,24.3,30.0,24.3
Princes Town,2005-01-07,77.9,0.3048,4.17,17.2,76.3,1014.2,60.0,6.4,182.85,15.78125,20875,66643,33.1,25.1,28.6,39.4,25.1,31.7,24.1
Princes Town,2005-01-08,81.1,2.9972,4.17,11.4,80.2,1012.9,59.6,8.4,198.66875,17.16875,21283,66518,32.1,23.7,27.9,39.3,23.7,31.4,24.2
Princes Town,2005-01-09,86.3,23.9014,4.17,12.8,103.5,1011.2,67.9,8.4,213.80625,18.475,21357,65675,32.1,24.1,27.4,40.8,24.1,30.8,24.8
Princes Town,2005-01-10,78.0,0.0,0.0,12.8,86.2,1010.7,50.6,8.9,203.9375,17.65,21241,64552,33.1,23.1,28.2,39.4,23.1,31.6,23.7
Princes Town,2005-01-11,85.5,0.508,4.17,15.0,97.1,1012.8,79.1,7.7,189.24375,16.3625,21374,63696,30.8,24.2,27.0,37.6,24.2,29.2,24.2
