name,datetime,humidity,precip,precipcover,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,sunrise,sunset,tempmax c,tempmin c,avgtemp c,feelslikemax c,feelslikemin c,avgfeelsliketemp c,dewpoint c
San Fernando,2005-01-01,92.8,34.0106,8.33,10.3,70.7,1013.4,87.1,6.4,192.71176470588236,16.7,23013,64540,29.1,24.1,25.4,34.7,24.1,26.2,24.1
San Fernando,2005-01-02,77.2,0.0,0.0,11.4,9.9,1010.3,34.7,9.5,233.27647058823527,20.11764705882353,23322,65427,33.1,19.1,24.4,34.7,19.1,25.1,19.6
San Fernando,2005-01-03,75.9,0.0,0.0,15.0,75.8,1013.1,35.3,8.8,249.7058823529412,21.576470588235296,22811,65775,33.1,21.1,26.9,37.2,21.1,28.4,21.6
San Fernando,2005-01-04,73.5,0.0,0.0,17.2,73.0,1013.4,56.9,6.5,258.0,22.311764705882354,21770,65793,32.1,25.6,28.9,36.9,25.6,31.9,23.4
San Fernando,2005-01-05,87.8,4.8768,8.33,17.2,97.7,1014.4,85.4,8.1,240.70625,20.74375,20887,65869,30.1,24.8,26.4,36.3,24.8,28.0,24.2
San Fernando,2005-01-06,83.6,8.102599999999999,8.33,23.0,83.5,1012.9,83.3,5.3,209.3625,18.05625,20589,66261,32.6,24.3,27.6,38.8,24.3,30.0,24.3
San Fernando,2005-01-07,77.9,0.3048,4.17,17.2,76.3,1014.2,60.0,6.4,185.0625,15.94375,20899,66670,33.1,25.1,28.6,39.4,25.1,31.7,24.1
San Fernando,2005-01-08,81.1,2.9972,4.17,11.4,80.2,1012.9,59.6,8.4,201.70625,17.4375,21307,66545,32.1,23.7,27.9,39.3,23.7,31.4,24.2
San Fernando,2005-01-09,86.3,23.9014,4.17,12.8,103.5,1011.2,67.9,8.4,216.61875,18.7,21382,65701,32.1,24.1,27.4,40.8,24.1,30.8,24.8
San Fernando,2005-01-10,78.0,0.0,0.0,12.8,86.2,1010.7,50.6,8.9,205.75625,17.7875,21267,64578,33.1,23.1,28.2,39.4,23.1,31.6,23.7
San Fernando,2005-01-11,85.5,0.508,4.17,15.0,97.1,1012.8,79.1,7.7,190.58125,16.4875,21400,63720,30.8,24.2,27.0,37.6,24.2,29.2,24.2
San Fernando,2005-01-12,78.0,0.0,0.0,9.2,87.8,1010.4,64.1,9.4,175.99375,15.20625,22083,63716,34.1,20.8,26.2,37.4,20.8,27.5,21.6
San Fernando,2005-01-13,86.9,11.7094,12.5,13.9,63.5,1012.7,82.5,4.5,204.88823529411764,17.72941176470588,23242,64924,29.3,24.6,26.9,35.0,24.6,29.6,24.4
San Fernando,2005-01-14,83.9,8.102599999999999,4.17,16.1,60.4,1011.7,88.2,6.3,212.51176470588234,18.38823529411765,23256,64955,31.1,25.1,27.3,36.7,25.1,29.6,24.3
