name,datetime,humidity,precip,precipcover,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,sunrise,sunset,tempmax c,tempmin c,avgtemp c,feelslikemax c,feelslikemin c,avgfeelsliketemp c,dewpoint c
Scarborough,2005-01-01,88.2,2.3114,8.33,12.8,64.6,1014.1,94.7,5.2,212.1,18.311764705882354,22933,64271,27.8,23.8,25.1,31.4,23.8,25.3,23.0
Scarborough,2005-01-02,70.7,0.0,0.0,11.4,31.5,1010.4,40.7,14.9,245.04117647058823,21.147058823529413,23215,65185,29.1,23.8,25.7,30.9,23.8,26.2,19.8
Scarborough,2005-01-03,70.1,0.3048,4.17,18.3,102.9,1013.7,35.0,9.7,254.06470588235297,21.970588235294116,22665,65572,31.1,26.1,28.1,34.7,26.1,30.3,22.1
Scarborough,2005-01-04,72.5,0.0,0.0,17.2,95.7,1014.4,38.6,6.3,262.15882352941173,22.641176470588235,21577,65638,30.1,27.1,28.4,34.3,29.5,31.7,22.9
Scarborough,2005-01-05,77.9,0.508,4.17,16.1,143.9,1014.7,90.4,10.0,260.9,22.5125,20651,65757,30.1,26.1,27.7,35.2,26.1,30.8,23.5
Scarborough,2005-01-06,77.5,0.0,0.0,20.8,74.6,1013.4,87.3,6.7,246.40625,21.30625,20323,66179,31.1,25.1,28.2,36.7,25.1,31.7,23.8
Scarborough,2005-01-07,74.6,0.0,0.0,13.9,74.6,1014.7,71.3,6.3,190.21875,16.41875,20628,66592,31.1,26.1,28.4,35.9,26.1,31.8,23.4
Scarborough,2005-01-08,74.5,90.3986,4.17,15.0,126.9,1013.3,62.6,10.9,222.625,19.25625,21059,66444,31.2,25.1,28.7,36.9,25.1,32.5,23.7
Scarborough,2005-01-09,75.6,18.313399999999998,8.33,20.8,96.8,1011.7,83.7,7.6,234.45,20.225,21175,65559,32.1,25.1,29.2,39.3,25.1,33.8,24.3
Scarborough,2005-01-10,69.7,0.0,0.0,13.9,109.7,1011.3,55.5,9.7,218.44375,18.85,21105,64390,32.1,26.1,29.2,38.1,26.1,32.7,23.0
