name,datetime,humidity,precip,precipcover,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,sunrise,sunset,tempmax c,tempmin c,avgtemp c,feelslikemax c,feelslikemin c,avgfeelsliketemp c,dewpoint c
Siparia,2005-01-01,92.8,34.0106,8.33,10.3,70.7,1013.4,87.1,6.4,191.0,16.55,23009.0,64565.0,29.1,24.1,25.4,34.7,24.1,26.2,24.1
Siparia,2005-01-02,79.0,6.095999999999999,4.17,13.9,39.9,1013.2,64.6,7.8,202.38125,17.55625,23033.0,64598.0,32.1,23.1,26.6,34.3,23.1,27.5,22.1
Siparia,2005-01-03,81.6,0.508,4.17,8.1,63.1,1012.6,55.0,8.3,208.2875,17.99375,23056.0,64630.0,31.8,22.1,25.5,34.0,22.1,26.4,21.8
Siparia,2005-01-04,93.3,12.115799999999998,12.5,11.4,67.5,1011.6,83.0,6.8,199.80625,17.35625,23078.0,64663.0,29.2,23.1,24.6,33.7,23.1,25.1,23.4
Siparia,2005-01-05,83.3,0.7874,4.17,4.7,50.9,1012.7,77.8,16.8,191.39375,16.55625,23099.0,64695.0,31.3,23.7,25.1,33.4,23.7,25.3,21.8
Siparia,2005-01-06,83.2,2.0065999999999997,4.17,10.3,67.7,1010.8,92.5,9.8,191.28125,16.525,23120.0,64727.0,30.2,24.6,26.6,34.7,24.6,27.7,23.3
Siparia,2005-01-07,89.7,10.8966,8.33,12.8,77.7,1010.8,100.0,5.3,186.6375,16.10625,23139.0,64760.0,27.1,24.3,25.7,30.4,24.3,27.4,23.8
Siparia,2005-01-08,83.2,8.889999999999999,4.17,10.3,70.8,1011.9,90.0,9.6,195.175,16.8875,23158.0,64792.0,29.2,24.1,26.0,32.7,24.1,27.2,22.7
Siparia,2005-01-09,78.4,0.0,0.0,12.8,82.9,1011.6,81.5,9.5,192.1125,16.64375,23176.0,64823.0,30.1,23.7,27.3,34.3,23.7,29.6,23.1
Siparia,2005-01-10,90.8,2.0065999999999997,4.17,9.2,80.0,1010.1,68.0,7.2,203.25,17.53125,23193.0,64855.0,29.3,23.8,25.6,34.2,23.8,26.6,23.9
Siparia,2005-01-11,91.0,10.998199999999999,4.17,10.3,68.7,1011.1,76.3,8.8,211.03125,18.20625,23209.0,64886.0,31.7,23.8,25.4,37.3,23.8,26.1,23.6
Siparia,2005-01-12,87.9,0.0,0.0,10.3,45.2,1011.4,35.5,10.0,207.5,17.94375,23225.0,64918.0,31.3,24.1,26.1,37.4,24.1,27.2,23.8
Siparia,2005-01-13,86.9,11.7094,12.5,13.9,63.5,1012.7,82.5,4.5,209.08125,18.1,23239.0,64948.0,29.3,24.6,26.9,35.0,24.6,29.6,24.4
Siparia,2005-01-14,83.9,8.102599999999999,4.17,16.1,60.4,1011.7,88.2,6.3,214.425,18.55625,23253.0,64979.0,31.1,25.1,27.3,36.7,25.1,29.6,24.3
Siparia,2005-01-15,92.1,18.516599999999997,12.5,16.1,75.8,1010.8,91.3,5.1,207.2625,17.84375,23265.0,65009.0,29.2,23.1,25.2,33.9,23.1,25.9,23.7
Siparia,2005-01-16,95.8,32.9946,4.17,5.8,90.0,1010.2,66.7,8.9,208.33125,17.96875,23277.0,65039.0,25.2,23.2,24.2,25.2,23.2,24.2,23.4
Siparia,2005-01-17,97.4,0.0,0.0,0.0,90.0,1009.6,35.7,8.6,212.1,18.26875,23287.0,65068.0,24.8,21.8,22.4,24.8,21.8,22.4,22.1
Siparia,2005-01-18,71.0,0.0,0.0,13.9,332.4,1010.3,90.0,9.5,216.9,18.725,23297.0,65097.0,31.7,26.8,28.9,36.2,29.2,32.5,23.0
Siparia,2005-01-19,84.6,10.2108,8.33,11.4,291.6,1010.0,90.0,7.0,217.03125,18.73125,23305.0,65126.0,28.1,24.1,25.8,32.8,24.1,26.5,22.9
Siparia,2005-01-20,78.5,0.0,0.0,12.8,325.9,1010.6,80.6,9.8,224.7875,19.39375,23312.0,65154.0,33.1,22.8,26.9,37.8,22.8,28.4,22.6
Siparia,2005-01-21,89.1,16.002,4.17,16.1,55.5,1012.1,91.4,9.2,211.2375,18.25,23319.0,65181.0,26.1,24.2,25.1,26.1,24.2,25.1,23.1
Siparia,2005-01-22,93.1,7.518399999999999,16.67,10.3,63.2,1012.9,90.0,8.2,210.9375,18.25625,23324.0,65208.0,27.6,23.8,25.1,31.1,23.8,25.4,23.8
Siparia,2005-01-23,75.5,2.0065999999999997,4.17,18.3,68.4,1013.3,66.0,11.2,214.225,18.49375,23329.0,65235.0,30.8,24.7,28.0,35.2,24.7,30.3,23.1
Siparia,2005-01-24,74.3,0.3048,4.17,13.9,80.0,1013.7,64.7,9.2,228.13125,19.6625,23332.0,65261.0,30.6,22.8,27.7,34.6,22.8,29.9,22.6
Siparia,2005-01-25,78.6,0.0,0.0,11.4,69.3,1013.2,45.0,10.6,229.3125,19.78125,23334.0,65286.0,30.7,21.7,25.1,32.4,21.7,25.6,20.8
Siparia,2005-01-26,86.4,0.0,0.0,16.1,70.0,1013.3,31.3,12.3,224.05,19.3125,23336.0,65311.0,31.3,21.1,23.7,34.1,21.1,24.0,20.9
Siparia,2005-01-27,70.9,0.0,0.0,17.2,61.7,1013.3,48.8,8.8,217.20625,18.70625,23336.0,65335.0,31.3,22.1,27.5,34.7,22.1,29.3,21.4
Siparia,2005-01-28,65.5,0.0,0.0,11.4,61.7,1011.3,68.9,8.3,219.3,18.925,23335.0,65359.0,32.2,24.7,28.9,35.7,24.7,31.3,21.6
Siparia,2005-01-29,74.9,0.0,0.0,10.3,36.6,1010.8,62.2,12.1,209.60625,18.05625,23333.0,65382.0,30.8,22.7,26.2,32.9,22.7,26.9,21.0
Siparia,2005-01-30,78.2,0.508,4.17,10.3,1.5,1010.5,64.0,9.8,221.11875,19.0875,23330.0,65405.0,32.3,22.1,25.5,34.0,22.1,26.1,20.8
Siparia,2005-01-31,69.3,0.0,0.0,10.3,350.1,1010.7,45.7,11.5,230.53125,19.89375,23327.0,65426.0,33.1,20.1,26.4,33.6,20.1,26.9,19.3
Siparia,2005-02-01,77.2,0.0,0.0,11.4,9.9,1010.3,34.7,9.5,231.44375,19.9625,23322.0,65448.0,33.1,19.1,24.4,34.7,19.1,25.1,19.6
Siparia,2005-02-02,72.5,0.0,0.0,11.4,80.1,1010.1,36.0,10.9,231.55,19.9625,23316.0,65468.0,32.1,20.1,25.8,33.0,20.1,26.4,19.6
Siparia,2005-02-03,77.9,0.0,0.0,6.9,31.1,1011.9,83.5,9.2,226.48125,19.5625,23309.0,65488.0,30.1,21.3,25.3,32.0,21.3,26.3,20.9
Siparia,2005-02-04,77.9,0.0,0.0,9.2,109.5,1013.4,75.7,12.8,224.20625,19.3375,23301.0,65508.0,31.2,20.1,23.9,32.1,20.1,24.2,19.3
Siparia,2005-02-05,78.0,0.0,0.0,15.0,67.7,1013.5,79.2,9.1,218.43125,18.81875,23292.0,65526.0,30.7,22.7,26.4,34.2,22.7,27.8,21.9
Siparia,2005-02-06,65.9,0.9905999999999999,4.17,13.9,74.6,1011.6,47.3,10.4,220.01875,18.98125,23282.0,65544.0,31.3,25.3,29.9,35.6,25.3,33.3,22.7
Siparia,2005-02-10,77.8,0.0,0.0,15.7,71.8,1010.3,83.3,8.7,231.54375,20.0,23233.0,65610.0,30.7,25.7,27.8,34.6,25.7,30.2,23.3
Siparia,2005-02-11,69.8,0.0,0.0,12.8,69.7,1011.6,77.8,9.5,238.075,20.55,23218.0,65625.0,33.1,23.7,29.2,38.2,23.7,31.9,22.7
Siparia,2005-02-12,75.7,0.0,0.0,11.4,75.0,1012.2,73.3,10.2,232.18125,20.025,23203.0,65639.0,32.3,23.1,26.8,34.3,23.1,27.7,21.6
Siparia,2005-02-13,70.6,0.0,0.0,11.4,94.5,1012.9,77.5,9.5,243.08124999999998,21.06875,23186.0,65652.0,32.1,24.2,28.7,35.9,24.2,30.5,22.4
Siparia,2005-02-14,77.5,0.7874,4.17,13.9,75.1,1013.8,74.0,11.5,219.95,19.01875,23169.0,65665.0,30.8,23.6,26.7,34.2,23.6,27.9,22.2
Siparia,2005-02-15,73.5,0.6096,8.33,12.8,82.1,1011.2,34.1,8.4,242.75625,20.98125,23151.0,65677.0,32.2,23.1,27.6,36.0,23.1,29.1,21.9
Siparia,2005-02-16,74.5,0.508,4.17,8.1,64.9,1009.9,49.4,8.9,243.25625,21.00625,23132.0,65689.0,33.1,21.1,26.8,36.7,21.1,28.3,21.3
Siparia,2005-02-17,72.6,0.0,0.0,12.8,323.4,1011.0,59.3,7.8,234.6,20.31875,23112.0,65700.0,33.1,22.1,27.7,37.2,22.1,29.6,21.9
Siparia,2005-02-18,73.6,0.0,0.0,12.8,341.2,1012.2,82.4,7.8,237.8,20.60625,23091.0,65711.0,34.1,22.1,26.9,36.6,22.1,28.0,21.2
